Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 14.2786 | lr 7.20e-05 | t 5s
step    50 | loss 7.9902 | lr 1.47e-04 | t 11s
step    75 | loss 8.6535 | lr 2.22e-04 | t 16s
step   100 | loss 5.9046 | lr 2.97e-04 | t 22s
step   125 | loss 2.5932 | lr 3.00e-04 | t 27s
step   150 | loss 3.3967 | lr 3.00e-04 | t 33s
step   175 | loss 5.4658 | lr 3.00e-04 | t 38s
step   200 | loss 2.5717 | lr 3.00e-04 | t 44s
step   225 | loss 3.2301 | lr 3.00e-04 | t 49s
step   250 | loss 7.0225 | lr 3.00e-04 | t 55s
step   275 | loss 1.8868 | lr 3.00e-04 | t 60s
step   300 | loss 2.5434 | lr 3.00e-04 | t 66s
step   325 | loss 3.4104 | lr 3.00e-04 | t 71s
step   350 | loss 2.2589 | lr 3.00e-04 | t 77s
step   375 | loss 3.0218 | lr 3.00e-04 | t 82s
step   400 | loss 2.8006 | lr 3.00e-04 | t 88s
step   425 | loss 2.1173 | lr 3.00e-04 | t 93s
step   450 | loss 14.6882 | lr 3.00e-04 | t 99s
step   475 | loss 2.1719 | lr 3.00e-04 | t 104s
step   500 | loss 2.5294 | lr 3.00e-04 | t 109s
step   525 | loss 1.2076 | lr 3.00e-04 | t 115s
step   550 | loss 2.5859 | lr 3.00e-04 | t 120s
step   575 | loss 3.1079 | lr 3.00e-04 | t 126s
step   600 | loss 1.0291 | lr 3.00e-04 | t 131s
step   625 | loss 2.1476 | lr 3.00e-04 | t 137s
step   650 | loss 2.5336 | lr 3.00e-04 | t 143s
step   675 | loss 2.6080 | lr 3.00e-04 | t 148s
step   700 | loss 1.8565 | lr 3.00e-04 | t 154s
step   725 | loss 2.1750 | lr 3.00e-04 | t 159s
step   750 | loss 2.0828 | lr 3.00e-04 | t 165s
step   775 | loss 1.4094 | lr 3.00e-04 | t 170s
step   800 | loss 2.2762 | lr 3.00e-04 | t 176s
step   825 | loss 1.4482 | lr 3.00e-04 | t 181s
step   850 | loss 2.0724 | lr 3.00e-04 | t 187s
step   875 | loss 1.6553 | lr 3.00e-04 | t 192s
step   900 | loss 2.1377 | lr 3.00e-04 | t 198s
step   925 | loss 1.6651 | lr 3.00e-04 | t 203s
step   950 | loss 1.8102 | lr 3.00e-04 | t 209s
step   975 | loss 1.1241 | lr 3.00e-04 | t 214s
step  1000 | loss 1.2611 | lr 3.00e-04 | t 220s
step  1025 | loss 2.5769 | lr 3.00e-04 | t 225s
step  1050 | loss 2.2170 | lr 3.00e-04 | t 231s
step  1075 | loss 1.6144 | lr 3.00e-04 | t 236s
step  1100 | loss 2.0107 | lr 3.00e-04 | t 242s
step  1125 | loss 1.4880 | lr 3.00e-04 | t 247s
step  1150 | loss 1.6801 | lr 3.00e-04 | t 253s
step  1175 | loss 1.3076 | lr 3.00e-04 | t 258s
step  1200 | loss 3.1505 | lr 3.00e-04 | t 264s
step  1225 | loss 1.9318 | lr 3.00e-04 | t 269s
step  1250 | loss 1.1946 | lr 3.00e-04 | t 275s
step  1275 | loss 1.5482 | lr 3.00e-04 | t 280s
step  1300 | loss 1.6863 | lr 3.00e-04 | t 286s
step  1325 | loss 2.1602 | lr 3.00e-04 | t 291s
step  1350 | loss 1.0847 | lr 3.00e-04 | t 297s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.8477
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
