Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 12.7624 | lr 2.40e-04 | t 5s
step    50 | loss 18.5175 | lr 4.90e-04 | t 11s
step    75 | loss 6.2458 | lr 7.40e-04 | t 16s
step   100 | loss 5.6855 | lr 9.90e-04 | t 22s
step   125 | loss 3.8574 | lr 1.00e-03 | t 27s
step   150 | loss 3.2622 | lr 1.00e-03 | t 33s
step   175 | loss 3.0656 | lr 1.00e-03 | t 38s
step   200 | loss 3.0628 | lr 1.00e-03 | t 44s
step   225 | loss 7.4723 | lr 1.00e-03 | t 50s
step   250 | loss 5.1693 | lr 1.00e-03 | t 55s
step   275 | loss 4.5853 | lr 1.00e-03 | t 61s
step   300 | loss 2.4922 | lr 1.00e-03 | t 66s
step   325 | loss 3.9533 | lr 1.00e-03 | t 72s
step   350 | loss 1.8504 | lr 1.00e-03 | t 77s
step   375 | loss 2.0084 | lr 1.00e-03 | t 83s
step   400 | loss 3.6313 | lr 1.00e-03 | t 88s
step   425 | loss 2.9070 | lr 1.00e-03 | t 94s
step   450 | loss 2.1345 | lr 1.00e-03 | t 100s
step   475 | loss 2.2242 | lr 1.00e-03 | t 105s
step   500 | loss 2.7270 | lr 1.00e-03 | t 111s
step   525 | loss 2.6639 | lr 1.00e-03 | t 116s
step   550 | loss 1.7367 | lr 1.00e-03 | t 122s
step   575 | loss 2.8372 | lr 1.00e-03 | t 127s
step   600 | loss 2.1260 | lr 1.00e-03 | t 133s
step   625 | loss 2.0470 | lr 1.00e-03 | t 138s
step   650 | loss 1.0361 | lr 1.00e-03 | t 144s
step   675 | loss 2.9399 | lr 1.00e-03 | t 150s
step   700 | loss 1.3670 | lr 1.00e-03 | t 155s
step   725 | loss 1.7033 | lr 1.00e-03 | t 161s
step   750 | loss 1.9445 | lr 1.00e-03 | t 166s
step   775 | loss 2.4274 | lr 1.00e-03 | t 172s
step   800 | loss 2.4998 | lr 1.00e-03 | t 177s
step   825 | loss 1.0445 | lr 1.00e-03 | t 183s
step   850 | loss 1.6548 | lr 1.00e-03 | t 189s
step   875 | loss 1.6471 | lr 1.00e-03 | t 194s
step   900 | loss 1.3429 | lr 1.00e-03 | t 200s
step   925 | loss 2.7300 | lr 1.00e-03 | t 205s
step   950 | loss 1.6690 | lr 1.00e-03 | t 211s
step   975 | loss 1.5687 | lr 1.00e-03 | t 216s
step  1000 | loss 2.6685 | lr 1.00e-03 | t 222s
step  1025 | loss 1.7834 | lr 1.00e-03 | t 228s
step  1050 | loss 2.0026 | lr 1.00e-03 | t 233s
step  1075 | loss 2.0121 | lr 1.00e-03 | t 239s
step  1100 | loss 2.1642 | lr 1.00e-03 | t 244s
step  1125 | loss 1.5922 | lr 1.00e-03 | t 250s
step  1150 | loss 2.0844 | lr 1.00e-03 | t 255s
step  1175 | loss 1.7453 | lr 1.00e-03 | t 261s
step  1200 | loss 4.1546 | lr 1.00e-03 | t 267s
step  1225 | loss 1.9730 | lr 1.00e-03 | t 272s
step  1250 | loss 2.8607 | lr 1.00e-03 | t 278s
step  1275 | loss 2.2776 | lr 1.00e-03 | t 283s
step  1300 | loss 1.4164 | lr 1.00e-03 | t 289s
step  1325 | loss 1.7193 | lr 1.00e-03 | t 294s
step  1350 | loss 1.5512 | lr 1.00e-03 | t 300s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.9516
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
