Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 9.2757 | lr 7.20e-05 | t 5s
step    50 | loss 21.6572 | lr 1.47e-04 | t 11s
step    75 | loss 2.8654 | lr 2.22e-04 | t 16s
step   100 | loss 10.9758 | lr 2.97e-04 | t 22s
step   125 | loss 4.9899 | lr 3.00e-04 | t 27s
step   150 | loss 10.4694 | lr 3.00e-04 | t 33s
step   175 | loss 2.9942 | lr 3.00e-04 | t 38s
step   200 | loss 5.1155 | lr 3.00e-04 | t 44s
step   225 | loss 2.8777 | lr 3.00e-04 | t 49s
step   250 | loss 2.2805 | lr 3.00e-04 | t 55s
step   275 | loss 2.0531 | lr 3.00e-04 | t 60s
step   300 | loss 3.0356 | lr 3.00e-04 | t 66s
step   325 | loss 1.1534 | lr 3.00e-04 | t 71s
step   350 | loss 2.4144 | lr 3.00e-04 | t 77s
step   375 | loss 2.5307 | lr 3.00e-04 | t 82s
step   400 | loss 1.9055 | lr 3.00e-04 | t 88s
step   425 | loss 2.2996 | lr 3.00e-04 | t 93s
step   450 | loss 2.6031 | lr 3.00e-04 | t 99s
step   475 | loss 2.4378 | lr 3.00e-04 | t 104s
step   500 | loss 2.4885 | lr 3.00e-04 | t 110s
step   525 | loss 2.7208 | lr 3.00e-04 | t 115s
step   550 | loss 1.9435 | lr 3.00e-04 | t 121s
step   575 | loss 2.5745 | lr 3.00e-04 | t 126s
step   600 | loss 2.7399 | lr 3.00e-04 | t 132s
step   625 | loss 2.5837 | lr 3.00e-04 | t 137s
step   650 | loss 2.2601 | lr 3.00e-04 | t 143s
step   675 | loss 1.4874 | lr 3.00e-04 | t 149s
step   700 | loss 1.6774 | lr 3.00e-04 | t 154s
step   725 | loss 1.8731 | lr 3.00e-04 | t 160s
step   750 | loss 1.8939 | lr 3.00e-04 | t 165s
step   775 | loss 2.4596 | lr 3.00e-04 | t 171s
step   800 | loss 1.8246 | lr 3.00e-04 | t 176s
step   825 | loss 2.6713 | lr 3.00e-04 | t 182s
step   850 | loss 2.4652 | lr 3.00e-04 | t 187s
step   875 | loss 1.9925 | lr 3.00e-04 | t 193s
step   900 | loss 1.5053 | lr 3.00e-04 | t 198s
step   925 | loss 2.2291 | lr 3.00e-04 | t 204s
step   950 | loss 2.0663 | lr 3.00e-04 | t 209s
step   975 | loss 2.2498 | lr 3.00e-04 | t 215s
step  1000 | loss 1.0339 | lr 3.00e-04 | t 221s
step  1025 | loss 2.3533 | lr 3.00e-04 | t 226s
step  1050 | loss 2.6001 | lr 3.00e-04 | t 232s
step  1075 | loss 2.1251 | lr 3.00e-04 | t 237s
step  1100 | loss 1.0743 | lr 3.00e-04 | t 243s
step  1125 | loss 2.0104 | lr 3.00e-04 | t 248s
step  1150 | loss 1.6745 | lr 3.00e-04 | t 254s
step  1175 | loss 1.5805 | lr 3.00e-04 | t 259s
step  1200 | loss 1.6769 | lr 3.00e-04 | t 265s
step  1225 | loss 1.3902 | lr 3.00e-04 | t 270s
step  1250 | loss 2.8777 | lr 3.00e-04 | t 276s
step  1275 | loss 2.1752 | lr 3.00e-04 | t 281s
step  1300 | loss 2.1034 | lr 3.00e-04 | t 287s
step  1325 | loss 2.1569 | lr 3.00e-04 | t 292s
step  1350 | loss 1.8056 | lr 3.00e-04 | t 298s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.8917
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
