Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 14.3230 | lr 7.20e-05 | t 5s
step    50 | loss 5.8048 | lr 1.47e-04 | t 10s
step    75 | loss 12.1298 | lr 2.22e-04 | t 15s
step   100 | loss 6.3339 | lr 2.97e-04 | t 20s
step   125 | loss 4.0416 | lr 3.00e-04 | t 25s
step   150 | loss 2.0557 | lr 3.00e-04 | t 31s
step   175 | loss 3.3390 | lr 3.00e-04 | t 36s
step   200 | loss 2.2579 | lr 3.00e-04 | t 41s
step   225 | loss 2.5151 | lr 3.00e-04 | t 46s
step   250 | loss 2.4177 | lr 3.00e-04 | t 51s
step   275 | loss 2.3996 | lr 3.00e-04 | t 56s
step   300 | loss 3.5455 | lr 3.00e-04 | t 61s
step   325 | loss 2.6197 | lr 3.00e-04 | t 67s
step   350 | loss 1.6766 | lr 3.00e-04 | t 72s
step   375 | loss 2.8584 | lr 3.00e-04 | t 77s
step   400 | loss 1.3744 | lr 3.00e-04 | t 82s
step   425 | loss 1.8935 | lr 3.00e-04 | t 87s
step   450 | loss 3.7429 | lr 3.00e-04 | t 92s
step   475 | loss 2.4784 | lr 3.00e-04 | t 97s
step   500 | loss 0.8717 | lr 3.00e-04 | t 103s
step   525 | loss 6.4764 | lr 3.00e-04 | t 108s
step   550 | loss 1.2209 | lr 3.00e-04 | t 113s
step   575 | loss 3.2720 | lr 3.00e-04 | t 118s
step   600 | loss 2.7618 | lr 3.00e-04 | t 123s
step   625 | loss 2.2815 | lr 3.00e-04 | t 128s
step   650 | loss 3.0102 | lr 3.00e-04 | t 133s
step   675 | loss 2.7868 | lr 3.00e-04 | t 139s
step   700 | loss 3.7146 | lr 3.00e-04 | t 144s
step   725 | loss 1.7703 | lr 3.00e-04 | t 149s
step   750 | loss 2.1004 | lr 3.00e-04 | t 154s
step   775 | loss 2.3959 | lr 3.00e-04 | t 159s
step   800 | loss 1.3835 | lr 3.00e-04 | t 164s
step   825 | loss 2.5834 | lr 3.00e-04 | t 170s
step   850 | loss 1.5129 | lr 3.00e-04 | t 175s
step   875 | loss 1.8872 | lr 3.00e-04 | t 180s
step   900 | loss 3.6155 | lr 3.00e-04 | t 185s
step   925 | loss 3.3137 | lr 3.00e-04 | t 190s
step   950 | loss 2.0405 | lr 3.00e-04 | t 195s
step   975 | loss 1.8309 | lr 3.00e-04 | t 200s
step  1000 | loss 2.6699 | lr 3.00e-04 | t 206s
step  1025 | loss 1.7055 | lr 3.00e-04 | t 211s
step  1050 | loss 1.6952 | lr 3.00e-04 | t 216s
step  1075 | loss 1.5838 | lr 3.00e-04 | t 221s
step  1100 | loss 1.4252 | lr 3.00e-04 | t 226s
step  1125 | loss 0.7214 | lr 3.00e-04 | t 231s
step  1150 | loss 2.5937 | lr 3.00e-04 | t 236s
step  1175 | loss 1.6725 | lr 3.00e-04 | t 242s
step  1200 | loss 1.2552 | lr 3.00e-04 | t 247s
step  1225 | loss 1.9370 | lr 3.00e-04 | t 252s
step  1250 | loss 2.1683 | lr 3.00e-04 | t 257s
step  1275 | loss 1.7245 | lr 3.00e-04 | t 262s
step  1300 | loss 0.9861 | lr 3.00e-04 | t 267s
step  1325 | loss 2.5873 | lr 3.00e-04 | t 273s
step  1350 | loss 2.2813 | lr 3.00e-04 | t 278s
step  1375 | loss 2.8362 | lr 3.00e-04 | t 283s
step  1400 | loss 2.5030 | lr 3.00e-04 | t 288s
step  1425 | loss 1.4764 | lr 3.00e-04 | t 293s
step  1450 | loss 2.2608 | lr 3.00e-04 | t 298s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.9283
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
