Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 186.7M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 15.4346 | lr 7.20e-05 | t 5s
step    50 | loss 20.1529 | lr 1.47e-04 | t 10s
step    75 | loss 3.5447 | lr 2.22e-04 | t 15s
step   100 | loss 4.7565 | lr 2.97e-04 | t 20s
step   125 | loss 3.5478 | lr 3.00e-04 | t 25s
step   150 | loss 2.8717 | lr 3.00e-04 | t 30s
step   175 | loss 11.2721 | lr 3.00e-04 | t 35s
step   200 | loss 1.7336 | lr 3.00e-04 | t 41s
step   225 | loss 3.5352 | lr 3.00e-04 | t 46s
step   250 | loss 2.7014 | lr 3.00e-04 | t 51s
step   275 | loss 2.4304 | lr 3.00e-04 | t 56s
step   300 | loss 3.5140 | lr 3.00e-04 | t 61s
step   325 | loss 2.5666 | lr 3.00e-04 | t 66s
step   350 | loss 3.6847 | lr 3.00e-04 | t 71s
step   375 | loss 3.3773 | lr 3.00e-04 | t 76s
step   400 | loss 3.4509 | lr 3.00e-04 | t 82s
step   425 | loss 3.5961 | lr 3.00e-04 | t 87s
step   450 | loss 1.9545 | lr 3.00e-04 | t 92s
step   475 | loss 3.1591 | lr 3.00e-04 | t 97s
step   500 | loss 2.3733 | lr 3.00e-04 | t 103s
step   525 | loss 4.1456 | lr 3.00e-04 | t 108s
step   550 | loss 1.5971 | lr 3.00e-04 | t 113s
step   575 | loss 2.5915 | lr 3.00e-04 | t 118s
step   600 | loss 3.2398 | lr 3.00e-04 | t 124s
step   625 | loss 1.9231 | lr 3.00e-04 | t 130s
step   650 | loss 2.9689 | lr 3.00e-04 | t 138s
step   675 | loss 2.9314 | lr 3.00e-04 | t 145s
step   700 | loss 1.5539 | lr 3.00e-04 | t 152s
step   725 | loss 2.3935 | lr 3.00e-04 | t 159s
step   750 | loss 2.3350 | lr 3.00e-04 | t 166s
step   775 | loss 4.0598 | lr 3.00e-04 | t 173s
step   800 | loss 1.4820 | lr 3.00e-04 | t 180s
step   825 | loss 2.7643 | lr 3.00e-04 | t 187s
step   850 | loss 20.5507 | lr 3.00e-04 | t 195s
step   875 | loss 3.7669 | lr 3.00e-04 | t 202s
step   900 | loss 2.3100 | lr 3.00e-04 | t 208s
step   925 | loss 2.0274 | lr 3.00e-04 | t 214s
step   950 | loss 3.1118 | lr 3.00e-04 | t 219s
step   975 | loss 2.1422 | lr 3.00e-04 | t 224s
step  1000 | loss 1.9119 | lr 3.00e-04 | t 229s
step  1025 | loss 2.8241 | lr 3.00e-04 | t 234s
step  1050 | loss 1.6224 | lr 3.00e-04 | t 239s
step  1075 | loss 2.0215 | lr 3.00e-04 | t 244s
step  1100 | loss 1.8315 | lr 3.00e-04 | t 250s
step  1125 | loss 2.1063 | lr 3.00e-04 | t 255s
step  1150 | loss 2.4904 | lr 3.00e-04 | t 260s
step  1175 | loss 2.3474 | lr 3.00e-04 | t 265s
step  1200 | loss 2.2862 | lr 3.00e-04 | t 270s
step  1225 | loss 1.4335 | lr 3.00e-04 | t 275s
step  1250 | loss 3.3823 | lr 3.00e-04 | t 280s
step  1275 | loss 2.6555 | lr 3.00e-04 | t 285s
step  1300 | loss 0.9403 | lr 3.00e-04 | t 291s
step  1325 | loss 2.1867 | lr 3.00e-04 | t 296s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 1.0552
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
