Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 520.1M
Building dataloader...
Training (budget = 300s)...
step    25 | loss 8.5740 | lr 7.20e-05 | t 6s
step    50 | loss 15.3500 | lr 1.47e-04 | t 12s
step    75 | loss 17.5685 | lr 2.22e-04 | t 18s
step   100 | loss 5.2376 | lr 2.97e-04 | t 24s
step   125 | loss 5.1195 | lr 3.00e-04 | t 31s
step   150 | loss 2.5454 | lr 3.00e-04 | t 37s
step   175 | loss 3.7276 | lr 3.00e-04 | t 43s
step   200 | loss 2.8073 | lr 3.00e-04 | t 49s
step   225 | loss 1.6085 | lr 3.00e-04 | t 55s
step   250 | loss 3.2528 | lr 3.00e-04 | t 61s
step   275 | loss 3.2471 | lr 3.00e-04 | t 67s
step   300 | loss 2.3140 | lr 3.00e-04 | t 73s
step   325 | loss 2.4705 | lr 3.00e-04 | t 79s
step   350 | loss 2.0339 | lr 3.00e-04 | t 85s
step   375 | loss 2.8532 | lr 3.00e-04 | t 92s
step   400 | loss 9.6092 | lr 3.00e-04 | t 98s
step   425 | loss 2.1820 | lr 3.00e-04 | t 104s
step   450 | loss 2.7274 | lr 3.00e-04 | t 110s
step   475 | loss 2.0138 | lr 3.00e-04 | t 116s
step   500 | loss 3.4563 | lr 3.00e-04 | t 122s
step   525 | loss 2.3168 | lr 3.00e-04 | t 128s
step   550 | loss 2.4424 | lr 3.00e-04 | t 134s
step   575 | loss 3.4354 | lr 3.00e-04 | t 140s
step   600 | loss 2.2654 | lr 3.00e-04 | t 146s
step   625 | loss 2.8770 | lr 3.00e-04 | t 152s
step   650 | loss 0.8448 | lr 3.00e-04 | t 159s
step   675 | loss 2.0834 | lr 3.00e-04 | t 165s
step   700 | loss 2.4413 | lr 3.00e-04 | t 171s
step   725 | loss 1.6001 | lr 3.00e-04 | t 177s
step   750 | loss 1.3919 | lr 3.00e-04 | t 183s
step   775 | loss 2.3063 | lr 3.00e-04 | t 189s
step   800 | loss 2.5789 | lr 3.00e-04 | t 195s
step   825 | loss 1.5817 | lr 3.00e-04 | t 201s
step   850 | loss 0.8752 | lr 3.00e-04 | t 208s
step   875 | loss 1.8156 | lr 3.00e-04 | t 214s
step   900 | loss 1.3788 | lr 3.00e-04 | t 220s
step   925 | loss 2.3227 | lr 3.00e-04 | t 226s
step   950 | loss 2.0939 | lr 3.00e-04 | t 232s
step   975 | loss 1.1814 | lr 3.00e-04 | t 238s
step  1000 | loss 1.8504 | lr 3.00e-04 | t 244s
step  1025 | loss 1.8715 | lr 3.00e-04 | t 250s
step  1050 | loss 1.3899 | lr 3.00e-04 | t 256s
step  1075 | loss 1.7276 | lr 3.00e-04 | t 263s
step  1100 | loss 2.1926 | lr 3.00e-04 | t 269s
step  1125 | loss 1.4068 | lr 3.00e-04 | t 275s
step  1150 | loss 1.2515 | lr 3.00e-04 | t 281s
step  1175 | loss 2.7529 | lr 3.00e-04 | t 287s
step  1200 | loss 1.2048 | lr 3.00e-04 | t 293s
step  1225 | loss 1.0455 | lr 3.00e-04 | t 299s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 1.0013
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
