Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 600s)...
step    25 | loss 10.7322 | lr 7.20e-05 | t 5s
step    50 | loss 13.5117 | lr 1.47e-04 | t 11s
step    75 | loss 3.6476 | lr 2.22e-04 | t 16s
step   100 | loss 6.5982 | lr 2.97e-04 | t 22s
step   125 | loss 7.8185 | lr 3.00e-04 | t 27s
step   150 | loss 3.7243 | lr 3.00e-04 | t 33s
step   175 | loss 4.0502 | lr 3.00e-04 | t 38s
step   200 | loss 3.1468 | lr 3.00e-04 | t 44s
step   225 | loss 2.6584 | lr 3.00e-04 | t 49s
step   250 | loss 3.8572 | lr 3.00e-04 | t 55s
step   275 | loss 2.6372 | lr 3.00e-04 | t 60s
step   300 | loss 4.3129 | lr 3.00e-04 | t 66s
step   325 | loss 6.2099 | lr 3.00e-04 | t 72s
step   350 | loss 2.5857 | lr 3.00e-04 | t 77s
step   375 | loss 2.7570 | lr 3.00e-04 | t 82s
step   400 | loss 3.1722 | lr 3.00e-04 | t 88s
step   425 | loss 2.8137 | lr 3.00e-04 | t 93s
step   450 | loss 2.2681 | lr 3.00e-04 | t 99s
step   475 | loss 2.5905 | lr 3.00e-04 | t 104s
step   500 | loss 1.6765 | lr 3.00e-04 | t 110s
step   525 | loss 2.8187 | lr 3.00e-04 | t 116s
