Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 600s)...
step    25 | loss 19.5626 | lr 7.20e-05 | t 5s
step    50 | loss 17.5166 | lr 1.47e-04 | t 11s
step    75 | loss 7.8181 | lr 2.22e-04 | t 16s
step   100 | loss 3.8488 | lr 2.97e-04 | t 22s
step   125 | loss 3.2163 | lr 3.00e-04 | t 27s
step   150 | loss 4.0651 | lr 3.00e-04 | t 33s
step   175 | loss 3.9993 | lr 3.00e-04 | t 38s
step   200 | loss 3.3499 | lr 3.00e-04 | t 44s
step   225 | loss 2.4024 | lr 3.00e-04 | t 50s
step   250 | loss 3.4484 | lr 3.00e-04 | t 55s
step   275 | loss 3.8392 | lr 3.00e-04 | t 61s
step   300 | loss 3.8243 | lr 3.00e-04 | t 66s
step   325 | loss 1.6584 | lr 3.00e-04 | t 72s
step   350 | loss 3.5239 | lr 3.00e-04 | t 77s
step   375 | loss 2.5914 | lr 3.00e-04 | t 83s
step   400 | loss 1.7254 | lr 3.00e-04 | t 88s
step   425 | loss 4.6624 | lr 3.00e-04 | t 94s
step   450 | loss 3.3485 | lr 3.00e-04 | t 99s
step   475 | loss 2.2470 | lr 3.00e-04 | t 105s
step   500 | loss 2.2053 | lr 3.00e-04 | t 110s
step   525 | loss 2.0014 | lr 3.00e-04 | t 116s
step   550 | loss 1.9270 | lr 3.00e-04 | t 121s
step   575 | loss 2.2089 | lr 3.00e-04 | t 127s
step   600 | loss 3.1530 | lr 3.00e-04 | t 132s
step   625 | loss 1.5113 | lr 3.00e-04 | t 138s
step   650 | loss 2.5802 | lr 3.00e-04 | t 144s
