Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 10.5576 | lr 2.97e-04 | t 7s
step   200 | loss 5.2592 | lr 3.00e-04 | t 14s
step   300 | loss 3.1250 | lr 2.99e-04 | t 21s
step   400 | loss 2.7297 | lr 2.99e-04 | t 28s
step   500 | loss 2.4005 | lr 2.98e-04 | t 35s
step   600 | loss 1.9421 | lr 2.97e-04 | t 42s
step   700 | loss 1.8776 | lr 2.95e-04 | t 50s
step   800 | loss 2.2455 | lr 2.94e-04 | t 57s
step   900 | loss 2.3863 | lr 2.93e-04 | t 64s
step  1000 | loss 1.6101 | lr 2.91e-04 | t 71s
step  1100 | loss 1.5974 | lr 2.89e-04 | t 78s
step  1200 | loss 1.5173 | lr 2.87e-04 | t 85s
step  1300 | loss 2.0412 | lr 2.85e-04 | t 92s
step  1400 | loss 1.9647 | lr 2.82e-04 | t 99s
step  1500 | loss 1.7680 | lr 2.80e-04 | t 106s
step  1600 | loss 1.6483 | lr 2.77e-04 | t 113s
step  1700 | loss 1.6059 | lr 2.74e-04 | t 120s
step  1800 | loss 1.5651 | lr 2.71e-04 | t 127s
step  1900 | loss 1.1803 | lr 2.68e-04 | t 134s
step  2000 | loss 1.9305 | lr 2.65e-04 | t 141s
step  2100 | loss 1.2323 | lr 2.61e-04 | t 148s
step  2200 | loss 1.2982 | lr 2.58e-04 | t 155s
step  2300 | loss 1.5085 | lr 2.54e-04 | t 162s
step  2400 | loss 1.8895 | lr 2.50e-04 | t 170s
step  2500 | loss 1.6103 | lr 2.46e-04 | t 177s
step  2600 | loss 1.4350 | lr 2.42e-04 | t 184s
step  2700 | loss 1.1704 | lr 2.38e-04 | t 191s
step  2800 | loss 1.5079 | lr 2.34e-04 | t 198s
step  2900 | loss 1.3138 | lr 2.29e-04 | t 205s
step  3000 | loss 1.7600 | lr 2.25e-04 | t 212s
step  3100 | loss 1.5922 | lr 2.21e-04 | t 219s
step  3200 | loss 1.2775 | lr 2.16e-04 | t 226s
step  3300 | loss 1.2234 | lr 2.12e-04 | t 233s
step  3400 | loss 1.4442 | lr 2.07e-04 | t 240s
step  3500 | loss 1.4212 | lr 2.02e-04 | t 247s
step  3600 | loss 1.4354 | lr 1.98e-04 | t 253s
step  3700 | loss 1.2968 | lr 1.93e-04 | t 260s
