Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 325.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 7.9430 | lr 2.97e-04 | t 8s
step   200 | loss 5.5667 | lr 2.99e-04 | t 17s
step   300 | loss 2.7439 | lr 2.99e-04 | t 25s
step   400 | loss 2.1294 | lr 2.98e-04 | t 34s
step   500 | loss 2.2597 | lr 2.97e-04 | t 43s
step   600 | loss 2.0141 | lr 2.95e-04 | t 51s
step   700 | loss 2.7629 | lr 2.93e-04 | t 60s
step   800 | loss 2.0742 | lr 2.91e-04 | t 68s
step   900 | loss 2.2342 | lr 2.89e-04 | t 77s
step  1000 | loss 3.0916 | lr 2.87e-04 | t 86s
step  1100 | loss 1.9739 | lr 2.84e-04 | t 94s
step  1200 | loss 1.6068 | lr 2.81e-04 | t 103s
step  1300 | loss 1.7716 | lr 2.78e-04 | t 112s
step  1400 | loss 2.0005 | lr 2.74e-04 | t 120s
step  1500 | loss 1.6118 | lr 2.70e-04 | t 129s
step  1600 | loss 1.7073 | lr 2.66e-04 | t 138s
step  1700 | loss 2.1629 | lr 2.62e-04 | t 146s
step  1800 | loss 1.8828 | lr 2.58e-04 | t 155s
step  1900 | loss 1.6425 | lr 2.54e-04 | t 163s
step  2000 | loss 1.8430 | lr 2.49e-04 | t 172s
step  2100 | loss 1.3236 | lr 2.44e-04 | t 181s
step  2200 | loss 1.6284 | lr 2.39e-04 | t 189s
step  2300 | loss 1.6882 | lr 2.34e-04 | t 198s
step  2400 | loss 1.3360 | lr 2.28e-04 | t 207s
step  2500 | loss 1.1166 | lr 2.23e-04 | t 215s
step  2600 | loss 1.1658 | lr 2.18e-04 | t 224s
step  2700 | loss 1.5670 | lr 2.12e-04 | t 232s
step  2800 | loss 1.3961 | lr 2.06e-04 | t 241s
step  2900 | loss 1.4520 | lr 2.00e-04 | t 249s
step  3000 | loss 1.0491 | lr 1.94e-04 | t 258s
step  3100 | loss 1.3188 | lr 1.88e-04 | t 267s
step  3200 | loss 1.0388 | lr 1.82e-04 | t 276s
step  3300 | loss 1.6733 | lr 1.76e-04 | t 285s
step  3400 | loss 1.4950 | lr 1.70e-04 | t 293s
step  3500 | loss 1.4083 | lr 1.64e-04 | t 302s
step  3600 | loss 1.5999 | lr 1.58e-04 | t 310s
step  3700 | loss 1.2795 | lr 1.52e-04 | t 319s
step  3800 | loss 1.0279 | lr 1.46e-04 | t 327s
step  3900 | loss 1.2993 | lr 1.40e-04 | t 336s
step  4000 | loss 0.8448 | lr 1.34e-04 | t 345s
step  4100 | loss 1.2767 | lr 1.28e-04 | t 353s
step  4200 | loss 0.8565 | lr 1.22e-04 | t 362s
step  4300 | loss 1.1245 | lr 1.16e-04 | t 371s
step  4400 | loss 1.2095 | lr 1.11e-04 | t 379s
step  4500 | loss 1.1777 | lr 1.05e-04 | t 388s
step  4600 | loss 0.9689 | lr 9.98e-05 | t 396s
step  4700 | loss 0.9678 | lr 9.46e-05 | t 405s
step  4800 | loss 1.3496 | lr 8.94e-05 | t 413s
step  4900 | loss 1.1486 | lr 8.45e-05 | t 422s
step  5000 | loss 0.8833 | lr 7.97e-05 | t 431s
step  5100 | loss 0.9508 | lr 7.50e-05 | t 439s
step  5200 | loss 0.8775 | lr 7.05e-05 | t 448s
step  5300 | loss 1.0190 | lr 6.63e-05 | t 457s
step  5400 | loss 0.8024 | lr 6.22e-05 | t 465s
step  5500 | loss 0.9283 | lr 5.83e-05 | t 474s
step  5600 | loss 0.9375 | lr 5.47e-05 | t 483s
step  5700 | loss 1.1403 | lr 5.13e-05 | t 491s
step  5800 | loss 0.9214 | lr 4.81e-05 | t 500s
step  5900 | loss 0.8278 | lr 4.52e-05 | t 508s
step  6000 | loss 1.1028 | lr 4.25e-05 | t 517s
step  6100 | loss 0.9355 | lr 4.01e-05 | t 526s
step  6200 | loss 0.8091 | lr 3.80e-05 | t 534s
step  6300 | loss 0.7773 | lr 3.61e-05 | t 542s
step  6400 | loss 1.1457 | lr 3.45e-05 | t 551s
step  6500 | loss 0.7139 | lr 3.31e-05 | t 559s
step  6600 | loss 1.0903 | lr 3.19e-05 | t 568s
step  6700 | loss 0.9962 | lr 3.10e-05 | t 576s
step  6800 | loss 1.1330 | lr 3.04e-05 | t 585s
step  6900 | loss 0.7248 | lr 3.01e-05 | t 594s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5191
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '1.000', '0.333', '0.333', '0.000', '0.333', '0.000']
