Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 11.6448 | lr 2.97e-04 | t 7s
step   200 | loss 5.9077 | lr 3.00e-04 | t 14s
step   300 | loss 3.3052 | lr 2.99e-04 | t 21s
step   400 | loss 2.5817 | lr 2.99e-04 | t 28s
step   500 | loss 2.4254 | lr 2.98e-04 | t 35s
step   600 | loss 2.0144 | lr 2.97e-04 | t 42s
step   700 | loss 2.4029 | lr 2.96e-04 | t 49s
step   800 | loss 1.5424 | lr 2.94e-04 | t 56s
step   900 | loss 1.5566 | lr 2.93e-04 | t 63s
step  1000 | loss 2.1617 | lr 2.91e-04 | t 70s
step  1100 | loss 1.6001 | lr 2.89e-04 | t 77s
step  1200 | loss 1.9388 | lr 2.87e-04 | t 84s
step  1300 | loss 1.3244 | lr 2.85e-04 | t 91s
step  1400 | loss 1.4439 | lr 2.82e-04 | t 99s
step  1500 | loss 1.5246 | lr 2.80e-04 | t 106s
step  1600 | loss 2.0109 | lr 2.77e-04 | t 113s
step  1700 | loss 1.8415 | lr 2.74e-04 | t 120s
step  1800 | loss 1.6916 | lr 2.71e-04 | t 127s
step  1900 | loss 1.4224 | lr 2.68e-04 | t 134s
step  2000 | loss 1.1475 | lr 2.65e-04 | t 141s
step  2100 | loss 2.1943 | lr 2.61e-04 | t 148s
step  2200 | loss 1.6937 | lr 2.58e-04 | t 155s
step  2300 | loss 2.0200 | lr 2.54e-04 | t 162s
step  2400 | loss 1.2296 | lr 2.50e-04 | t 169s
step  2500 | loss 1.7825 | lr 2.46e-04 | t 177s
step  2600 | loss 0.9736 | lr 2.42e-04 | t 184s
step  2700 | loss 1.5148 | lr 2.38e-04 | t 191s
step  2800 | loss 1.0673 | lr 2.34e-04 | t 198s
step  2900 | loss 0.9073 | lr 2.30e-04 | t 205s
step  3000 | loss 1.7108 | lr 2.25e-04 | t 212s
step  3100 | loss 1.5088 | lr 2.21e-04 | t 219s
step  3200 | loss 1.4028 | lr 2.16e-04 | t 226s
step  3300 | loss 1.4479 | lr 2.11e-04 | t 233s
step  3400 | loss 1.3072 | lr 2.07e-04 | t 240s
step  3500 | loss 1.1996 | lr 2.02e-04 | t 247s
step  3600 | loss 1.5266 | lr 1.97e-04 | t 254s
step  3700 | loss 1.2195 | lr 1.92e-04 | t 261s
step  3800 | loss 1.4792 | lr 1.87e-04 | t 268s
step  3900 | loss 1.2274 | lr 1.82e-04 | t 275s
step  4000 | loss 1.2302 | lr 1.78e-04 | t 282s
step  4100 | loss 1.4299 | lr 1.73e-04 | t 289s
step  4200 | loss 1.1726 | lr 1.68e-04 | t 296s
step  4300 | loss 1.2648 | lr 1.63e-04 | t 304s
