Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 12.5231 | lr 1.98e-04 | t 7s
step   200 | loss 3.9200 | lr 2.00e-04 | t 14s
step   300 | loss 3.9277 | lr 1.99e-04 | t 21s
step   400 | loss 2.2041 | lr 1.99e-04 | t 28s
step   500 | loss 1.8745 | lr 1.98e-04 | t 35s
step   600 | loss 2.7033 | lr 1.98e-04 | t 42s
step   700 | loss 2.2605 | lr 1.97e-04 | t 49s
step   800 | loss 1.8248 | lr 1.96e-04 | t 57s
step   900 | loss 1.5958 | lr 1.95e-04 | t 64s
step  1000 | loss 1.8225 | lr 1.94e-04 | t 71s
step  1100 | loss 1.6772 | lr 1.93e-04 | t 78s
step  1200 | loss 1.8869 | lr 1.91e-04 | t 85s
step  1300 | loss 1.8282 | lr 1.90e-04 | t 92s
step  1400 | loss 1.7027 | lr 1.88e-04 | t 99s
step  1500 | loss 1.7378 | lr 1.86e-04 | t 106s
step  1600 | loss 1.9564 | lr 1.85e-04 | t 113s
step  1700 | loss 1.4747 | lr 1.83e-04 | t 120s
step  1800 | loss 1.8168 | lr 1.81e-04 | t 127s
step  1900 | loss 1.2583 | lr 1.79e-04 | t 134s
step  2000 | loss 1.4799 | lr 1.77e-04 | t 141s
step  2100 | loss 1.6399 | lr 1.74e-04 | t 148s
step  2200 | loss 1.9885 | lr 1.72e-04 | t 155s
step  2300 | loss 1.7908 | lr 1.69e-04 | t 162s
step  2400 | loss 1.6130 | lr 1.67e-04 | t 169s
step  2500 | loss 1.0609 | lr 1.64e-04 | t 176s
step  2600 | loss 1.5294 | lr 1.62e-04 | t 184s
step  2700 | loss 1.3628 | lr 1.59e-04 | t 191s
step  2800 | loss 1.6340 | lr 1.56e-04 | t 198s
step  2900 | loss 1.4213 | lr 1.53e-04 | t 205s
step  3000 | loss 1.4982 | lr 1.50e-04 | t 212s
step  3100 | loss 1.2908 | lr 1.47e-04 | t 219s
step  3200 | loss 1.3893 | lr 1.44e-04 | t 226s
step  3300 | loss 1.1028 | lr 1.41e-04 | t 233s
step  3400 | loss 1.3913 | lr 1.38e-04 | t 240s
step  3500 | loss 1.3280 | lr 1.35e-04 | t 247s
step  3600 | loss 1.2604 | lr 1.32e-04 | t 254s
step  3700 | loss 1.7490 | lr 1.28e-04 | t 261s
step  3800 | loss 0.7332 | lr 1.25e-04 | t 268s
step  3900 | loss 0.7372 | lr 1.22e-04 | t 275s
step  4000 | loss 1.2785 | lr 1.19e-04 | t 282s
step  4100 | loss 1.1179 | lr 1.15e-04 | t 289s
step  4200 | loss 1.6722 | lr 1.12e-04 | t 296s
step  4300 | loss 1.0697 | lr 1.09e-04 | t 303s
step  4400 | loss 0.8977 | lr 1.05e-04 | t 310s
step  4500 | loss 1.0151 | lr 1.02e-04 | t 317s
step  4600 | loss 0.7934 | lr 9.88e-05 | t 324s
step  4700 | loss 1.0670 | lr 9.55e-05 | t 331s
step  4800 | loss 0.9906 | lr 9.22e-05 | t 338s
step  4900 | loss 0.8843 | lr 8.90e-05 | t 345s
step  5000 | loss 0.9323 | lr 8.58e-05 | t 352s
step  5100 | loss 1.3038 | lr 8.26e-05 | t 359s
step  5200 | loss 0.7185 | lr 7.95e-05 | t 366s
step  5300 | loss 0.6559 | lr 7.63e-05 | t 373s
step  5400 | loss 0.9376 | lr 7.32e-05 | t 380s
step  5500 | loss 0.9110 | lr 7.02e-05 | t 387s
step  5600 | loss 0.8848 | lr 6.73e-05 | t 395s
step  5700 | loss 0.9091 | lr 6.44e-05 | t 402s
step  5800 | loss 1.0372 | lr 6.15e-05 | t 409s
step  5900 | loss 0.8290 | lr 5.88e-05 | t 416s
step  6000 | loss 0.8621 | lr 5.61e-05 | t 423s
step  6100 | loss 1.0867 | lr 5.35e-05 | t 430s
step  6200 | loss 0.8896 | lr 5.10e-05 | t 436s
step  6300 | loss 0.9199 | lr 4.86e-05 | t 444s
step  6400 | loss 0.8757 | lr 4.62e-05 | t 451s
step  6500 | loss 0.7481 | lr 4.39e-05 | t 457s
step  6600 | loss 0.9646 | lr 4.17e-05 | t 464s
step  6700 | loss 1.2032 | lr 3.96e-05 | t 471s
step  6800 | loss 0.8661 | lr 3.76e-05 | t 478s
step  6900 | loss 0.8264 | lr 3.57e-05 | t 485s
step  7000 | loss 1.1734 | lr 3.39e-05 | t 492s
step  7100 | loss 1.2247 | lr 3.22e-05 | t 499s
step  7200 | loss 1.0509 | lr 3.06e-05 | t 506s
step  7300 | loss 0.9574 | lr 2.91e-05 | t 514s
step  7400 | loss 0.7822 | lr 2.77e-05 | t 520s
step  7500 | loss 0.7763 | lr 2.64e-05 | t 527s
step  7600 | loss 0.9081 | lr 2.53e-05 | t 534s
step  7700 | loss 0.6453 | lr 2.42e-05 | t 541s
step  7800 | loss 0.7971 | lr 2.33e-05 | t 548s
step  7900 | loss 0.9938 | lr 2.25e-05 | t 555s
step  8000 | loss 0.9506 | lr 2.18e-05 | t 562s
step  8100 | loss 0.9799 | lr 2.12e-05 | t 569s
step  8200 | loss 1.0854 | lr 2.07e-05 | t 576s
step  8300 | loss 0.9837 | lr 2.03e-05 | t 584s
step  8400 | loss 0.9338 | lr 2.01e-05 | t 591s
step  8500 | loss 0.7592 | lr 2.00e-05 | t 598s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.4933
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
