Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 8.2777 | lr 4.95e-04 | t 7s
step   200 | loss 4.6318 | lr 4.99e-04 | t 14s
step   300 | loss 2.5550 | lr 4.99e-04 | t 21s
step   400 | loss 3.4421 | lr 4.98e-04 | t 28s
step   500 | loss 3.9788 | lr 4.96e-04 | t 35s
step   600 | loss 3.4586 | lr 4.95e-04 | t 42s
step   700 | loss 1.9585 | lr 4.93e-04 | t 49s
step   800 | loss 1.9185 | lr 4.90e-04 | t 57s
step   900 | loss 1.6731 | lr 4.88e-04 | t 64s
step  1000 | loss 2.2831 | lr 4.85e-04 | t 71s
step  1100 | loss 2.3162 | lr 4.82e-04 | t 78s
step  1200 | loss 1.8555 | lr 4.78e-04 | t 85s
step  1300 | loss 1.6744 | lr 4.75e-04 | t 92s
step  1400 | loss 1.9583 | lr 4.71e-04 | t 99s
step  1500 | loss 2.1285 | lr 4.66e-04 | t 106s
step  1600 | loss 1.5484 | lr 4.62e-04 | t 113s
step  1700 | loss 1.6820 | lr 4.57e-04 | t 120s
step  1800 | loss 1.3222 | lr 4.52e-04 | t 127s
step  1900 | loss 1.2960 | lr 4.47e-04 | t 134s
step  2000 | loss 2.0737 | lr 4.41e-04 | t 141s
step  2100 | loss 1.5615 | lr 4.36e-04 | t 148s
step  2200 | loss 1.3650 | lr 4.30e-04 | t 155s
step  2300 | loss 1.8243 | lr 4.24e-04 | t 162s
step  2400 | loss 1.6827 | lr 4.17e-04 | t 169s
step  2500 | loss 1.9301 | lr 4.11e-04 | t 176s
step  2600 | loss 1.6491 | lr 4.04e-04 | t 183s
step  2700 | loss 1.6949 | lr 3.97e-04 | t 190s
step  2800 | loss 1.1966 | lr 3.90e-04 | t 197s
step  2900 | loss 1.3659 | lr 3.83e-04 | t 204s
step  3000 | loss 1.5839 | lr 3.76e-04 | t 211s
step  3100 | loss 1.7738 | lr 3.69e-04 | t 218s
step  3200 | loss 1.3053 | lr 3.61e-04 | t 225s
step  3300 | loss 1.8270 | lr 3.53e-04 | t 232s
step  3400 | loss 1.1144 | lr 3.45e-04 | t 239s
step  3500 | loss 1.3626 | lr 3.37e-04 | t 246s
step  3600 | loss 1.3496 | lr 3.29e-04 | t 253s
step  3700 | loss 1.2251 | lr 3.21e-04 | t 261s
step  3800 | loss 1.2690 | lr 3.13e-04 | t 268s
step  3900 | loss 1.3675 | lr 3.05e-04 | t 275s
