Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 346.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 11.4879 | lr 2.97e-04 | t 7s
step   200 | loss 3.6817 | lr 3.00e-04 | t 15s
step   300 | loss 2.9165 | lr 2.99e-04 | t 23s
step   400 | loss 2.4547 | lr 2.98e-04 | t 30s
step   500 | loss 2.0399 | lr 2.97e-04 | t 38s
step   600 | loss 3.6488 | lr 2.96e-04 | t 46s
step   700 | loss 2.7346 | lr 2.95e-04 | t 53s
step   800 | loss 3.0747 | lr 2.93e-04 | t 61s
step   900 | loss 1.7762 | lr 2.91e-04 | t 69s
step  1000 | loss 1.9879 | lr 2.89e-04 | t 76s
step  1100 | loss 1.5071 | lr 2.87e-04 | t 84s
step  1200 | loss 2.0788 | lr 2.85e-04 | t 92s
step  1300 | loss 2.0068 | lr 2.82e-04 | t 99s
step  1400 | loss 1.7601 | lr 2.79e-04 | t 107s
step  1500 | loss 2.2207 | lr 2.76e-04 | t 115s
step  1600 | loss 1.8585 | lr 2.73e-04 | t 122s
step  1700 | loss 1.9579 | lr 2.70e-04 | t 130s
step  1800 | loss 1.7069 | lr 2.67e-04 | t 137s
step  1900 | loss 1.7650 | lr 2.63e-04 | t 145s
step  2000 | loss 1.8281 | lr 2.59e-04 | t 152s
step  2100 | loss 1.6233 | lr 2.55e-04 | t 160s
step  2200 | loss 1.3126 | lr 2.51e-04 | t 168s
step  2300 | loss 1.4423 | lr 2.47e-04 | t 175s
step  2400 | loss 1.2331 | lr 2.43e-04 | t 183s
step  2500 | loss 1.8191 | lr 2.38e-04 | t 191s
step  2600 | loss 1.4026 | lr 2.34e-04 | t 198s
step  2700 | loss 1.3982 | lr 2.29e-04 | t 206s
step  2800 | loss 1.4365 | lr 2.24e-04 | t 214s
step  2900 | loss 1.3481 | lr 2.19e-04 | t 221s
step  3000 | loss 1.6443 | lr 2.14e-04 | t 229s
step  3100 | loss 1.4007 | lr 2.09e-04 | t 236s
step  3200 | loss 1.5629 | lr 2.04e-04 | t 244s
step  3300 | loss 1.4392 | lr 1.99e-04 | t 252s
step  3400 | loss 1.3175 | lr 1.94e-04 | t 259s
step  3500 | loss 1.3525 | lr 1.88e-04 | t 267s
step  3600 | loss 2.0386 | lr 1.83e-04 | t 274s
step  3700 | loss 1.6630 | lr 1.78e-04 | t 282s
step  3800 | loss 1.1753 | lr 1.72e-04 | t 290s
step  3900 | loss 1.1288 | lr 1.67e-04 | t 298s
step  4000 | loss 1.4588 | lr 1.61e-04 | t 305s
step  4100 | loss 0.9791 | lr 1.56e-04 | t 313s
step  4200 | loss 1.5629 | lr 1.50e-04 | t 321s
step  4300 | loss 1.5221 | lr 1.45e-04 | t 328s
step  4400 | loss 1.4269 | lr 1.40e-04 | t 336s
step  4500 | loss 1.1038 | lr 1.34e-04 | t 344s
step  4600 | loss 1.1922 | lr 1.29e-04 | t 351s
step  4700 | loss 1.3638 | lr 1.24e-04 | t 359s
step  4800 | loss 0.9949 | lr 1.19e-04 | t 367s
step  4900 | loss 1.2285 | lr 1.14e-04 | t 374s
step  5000 | loss 1.3835 | lr 1.09e-04 | t 382s
step  5100 | loss 1.1561 | lr 1.04e-04 | t 390s
step  5200 | loss 1.1996 | lr 9.92e-05 | t 397s
step  5300 | loss 0.9874 | lr 9.46e-05 | t 405s
step  5400 | loss 1.1247 | lr 9.02e-05 | t 412s
step  5500 | loss 1.2009 | lr 8.58e-05 | t 420s
step  5600 | loss 1.1811 | lr 8.16e-05 | t 427s
step  5700 | loss 0.8324 | lr 7.74e-05 | t 435s
step  5800 | loss 0.9137 | lr 7.34e-05 | t 443s
step  5900 | loss 0.9899 | lr 6.95e-05 | t 450s
step  6000 | loss 1.0229 | lr 6.58e-05 | t 458s
step  6100 | loss 0.9853 | lr 6.22e-05 | t 465s
step  6200 | loss 0.7079 | lr 5.87e-05 | t 473s
step  6300 | loss 1.1148 | lr 5.55e-05 | t 481s
step  6400 | loss 1.0624 | lr 5.24e-05 | t 488s
step  6500 | loss 0.9373 | lr 4.95e-05 | t 496s
step  6600 | loss 0.9797 | lr 4.68e-05 | t 504s
step  6700 | loss 1.3201 | lr 4.42e-05 | t 512s
step  6800 | loss 1.2133 | lr 4.19e-05 | t 519s
step  6900 | loss 1.0175 | lr 3.98e-05 | t 527s
step  7000 | loss 1.0000 | lr 3.78e-05 | t 535s
step  7100 | loss 0.6914 | lr 3.61e-05 | t 542s
step  7200 | loss 0.9810 | lr 3.46e-05 | t 550s
step  7300 | loss 1.0411 | lr 3.33e-05 | t 558s
step  7400 | loss 1.2489 | lr 3.22e-05 | t 565s
step  7500 | loss 1.2355 | lr 3.14e-05 | t 573s
step  7600 | loss 0.8930 | lr 3.07e-05 | t 581s
step  7700 | loss 1.2930 | lr 3.03e-05 | t 588s
step  7800 | loss 0.8915 | lr 3.00e-05 | t 596s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5616
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '0.667', '0.667', '0.000', '0.000', '0.333', '0.333']
