Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 195.1M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 9.9739 | lr 2.97e-04 | t 7s
step   200 | loss 5.7015 | lr 3.00e-04 | t 14s
step   300 | loss 2.6715 | lr 2.99e-04 | t 21s
step   400 | loss 3.3947 | lr 2.99e-04 | t 28s
step   500 | loss 1.7988 | lr 2.98e-04 | t 35s
step   600 | loss 2.6246 | lr 2.97e-04 | t 42s
step   700 | loss 2.2371 | lr 2.96e-04 | t 49s
step   800 | loss 2.2583 | lr 2.94e-04 | t 56s
step   900 | loss 2.3183 | lr 2.93e-04 | t 63s
step  1000 | loss 2.9867 | lr 2.91e-04 | t 70s
step  1100 | loss 2.1555 | lr 2.89e-04 | t 77s
step  1200 | loss 2.2840 | lr 2.87e-04 | t 84s
step  1300 | loss 1.9051 | lr 2.85e-04 | t 91s
step  1400 | loss 1.4603 | lr 2.83e-04 | t 98s
step  1500 | loss 2.4724 | lr 2.80e-04 | t 105s
step  1600 | loss 2.1501 | lr 2.77e-04 | t 112s
step  1700 | loss 1.8234 | lr 2.74e-04 | t 119s
step  1800 | loss 1.7310 | lr 2.71e-04 | t 126s
step  1900 | loss 1.7630 | lr 2.68e-04 | t 134s
step  2000 | loss 2.1823 | lr 2.65e-04 | t 141s
step  2100 | loss 1.5664 | lr 2.62e-04 | t 148s
step  2200 | loss 1.2937 | lr 2.58e-04 | t 155s
step  2300 | loss 1.6499 | lr 2.54e-04 | t 162s
step  2400 | loss 1.7595 | lr 2.50e-04 | t 169s
step  2500 | loss 1.6095 | lr 2.47e-04 | t 176s
step  2600 | loss 1.4947 | lr 2.43e-04 | t 183s
step  2700 | loss 1.2652 | lr 2.39e-04 | t 190s
step  2800 | loss 1.2523 | lr 2.34e-04 | t 197s
step  2900 | loss 1.5008 | lr 2.30e-04 | t 204s
step  3000 | loss 1.2827 | lr 2.26e-04 | t 211s
step  3100 | loss 1.4606 | lr 2.21e-04 | t 218s
step  3200 | loss 1.3503 | lr 2.17e-04 | t 225s
step  3300 | loss 1.3856 | lr 2.12e-04 | t 231s
step  3400 | loss 1.4586 | lr 2.08e-04 | t 238s
step  3500 | loss 1.7406 | lr 2.03e-04 | t 245s
step  3600 | loss 1.7200 | lr 1.98e-04 | t 252s
step  3700 | loss 1.1670 | lr 1.94e-04 | t 259s
step  3800 | loss 1.6486 | lr 1.89e-04 | t 266s
step  3900 | loss 1.0460 | lr 1.84e-04 | t 273s
step  4000 | loss 1.1504 | lr 1.79e-04 | t 280s
step  4100 | loss 1.4753 | lr 1.74e-04 | t 287s
step  4200 | loss 1.2078 | lr 1.69e-04 | t 294s
step  4300 | loss 0.9442 | lr 1.64e-04 | t 301s
step  4400 | loss 1.0606 | lr 1.59e-04 | t 308s
step  4500 | loss 1.3071 | lr 1.55e-04 | t 315s
step  4600 | loss 1.5324 | lr 1.50e-04 | t 322s
step  4700 | loss 1.2068 | lr 1.45e-04 | t 329s
step  4800 | loss 1.0717 | lr 1.40e-04 | t 336s
step  4900 | loss 1.1332 | lr 1.35e-04 | t 343s
step  5000 | loss 1.5051 | lr 1.30e-04 | t 350s
step  5100 | loss 1.0713 | lr 1.25e-04 | t 357s
step  5200 | loss 1.2297 | lr 1.21e-04 | t 364s
step  5300 | loss 1.2325 | lr 1.16e-04 | t 371s
step  5400 | loss 1.1772 | lr 1.12e-04 | t 378s
step  5500 | loss 1.0809 | lr 1.07e-04 | t 385s
step  5600 | loss 1.1415 | lr 1.03e-04 | t 392s
step  5700 | loss 1.0864 | lr 9.82e-05 | t 399s
step  5800 | loss 1.1822 | lr 9.38e-05 | t 406s
step  5900 | loss 1.0236 | lr 8.96e-05 | t 413s
step  6000 | loss 1.1576 | lr 8.54e-05 | t 420s
step  6100 | loss 0.9933 | lr 8.14e-05 | t 428s
step  6200 | loss 1.0535 | lr 7.75e-05 | t 435s
step  6300 | loss 1.2035 | lr 7.37e-05 | t 442s
step  6400 | loss 1.0358 | lr 7.01e-05 | t 449s
step  6500 | loss 1.2991 | lr 6.66e-05 | t 456s
step  6600 | loss 1.2007 | lr 6.34e-05 | t 463s
step  6700 | loss 0.9346 | lr 6.02e-05 | t 470s
step  6800 | loss 1.3004 | lr 5.72e-05 | t 477s
step  6900 | loss 1.0377 | lr 5.44e-05 | t 483s
step  7000 | loss 1.2236 | lr 5.17e-05 | t 490s
step  7100 | loss 1.0612 | lr 4.91e-05 | t 497s
step  7200 | loss 1.0421 | lr 4.67e-05 | t 504s
step  7300 | loss 1.1104 | lr 4.44e-05 | t 511s
step  7400 | loss 1.1859 | lr 4.23e-05 | t 518s
step  7500 | loss 1.3544 | lr 4.03e-05 | t 525s
step  7600 | loss 0.8253 | lr 3.85e-05 | t 532s
step  7700 | loss 1.1768 | lr 3.69e-05 | t 539s
step  7800 | loss 1.1350 | lr 3.54e-05 | t 546s
step  7900 | loss 1.0361 | lr 3.42e-05 | t 553s
step  8000 | loss 1.0335 | lr 3.30e-05 | t 559s
step  8100 | loss 0.9693 | lr 3.21e-05 | t 566s
step  8200 | loss 1.3700 | lr 3.13e-05 | t 574s
step  8300 | loss 0.9419 | lr 3.07e-05 | t 581s
step  8400 | loss 0.9452 | lr 3.03e-05 | t 588s
step  8500 | loss 1.1998 | lr 3.01e-05 | t 595s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5683
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '0.667', '0.000', '0.000', '0.000', '0.333', '0.000']
