Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 11.9631 | lr 2.97e-04 | t 7s
step   200 | loss 3.1784 | lr 3.00e-04 | t 14s
step   300 | loss 2.8444 | lr 2.99e-04 | t 22s
step   400 | loss 2.5618 | lr 2.98e-04 | t 29s
step   500 | loss 2.4912 | lr 2.98e-04 | t 36s
step   600 | loss 2.3258 | lr 2.96e-04 | t 44s
step   700 | loss 1.4292 | lr 2.95e-04 | t 51s
step   800 | loss 1.9208 | lr 2.94e-04 | t 58s
step   900 | loss 2.1639 | lr 2.92e-04 | t 66s
step  1000 | loss 2.2282 | lr 2.90e-04 | t 73s
step  1100 | loss 2.3154 | lr 2.88e-04 | t 80s
step  1200 | loss 1.4493 | lr 2.86e-04 | t 88s
step  1300 | loss 1.4318 | lr 2.84e-04 | t 95s
step  1400 | loss 1.4111 | lr 2.81e-04 | t 102s
step  1500 | loss 1.8404 | lr 2.78e-04 | t 109s
step  1600 | loss 1.9244 | lr 2.76e-04 | t 117s
step  1700 | loss 1.7118 | lr 2.73e-04 | t 124s
step  1800 | loss 1.4154 | lr 2.69e-04 | t 131s
step  1900 | loss 1.5864 | lr 2.66e-04 | t 139s
step  2000 | loss 1.5288 | lr 2.63e-04 | t 146s
step  2100 | loss 1.1149 | lr 2.59e-04 | t 153s
step  2200 | loss 1.3904 | lr 2.55e-04 | t 160s
step  2300 | loss 1.2182 | lr 2.51e-04 | t 167s
step  2400 | loss 1.3786 | lr 2.47e-04 | t 175s
step  2500 | loss 1.4247 | lr 2.43e-04 | t 182s
step  2600 | loss 1.4321 | lr 2.39e-04 | t 189s
step  2700 | loss 1.5069 | lr 2.35e-04 | t 196s
step  2800 | loss 1.3768 | lr 2.30e-04 | t 204s
step  2900 | loss 1.4111 | lr 2.26e-04 | t 211s
step  3000 | loss 1.1663 | lr 2.21e-04 | t 218s
step  3100 | loss 1.3387 | lr 2.17e-04 | t 225s
step  3200 | loss 1.2731 | lr 2.12e-04 | t 233s
step  3300 | loss 1.3349 | lr 2.07e-04 | t 240s
step  3400 | loss 1.2999 | lr 2.02e-04 | t 247s
step  3500 | loss 1.3740 | lr 1.97e-04 | t 254s
step  3600 | loss 1.1167 | lr 1.92e-04 | t 262s
step  3700 | loss 1.3922 | lr 1.87e-04 | t 269s
step  3800 | loss 0.7732 | lr 1.82e-04 | t 276s
step  3900 | loss 1.1245 | lr 1.77e-04 | t 284s
step  4000 | loss 0.9693 | lr 1.72e-04 | t 291s
step  4100 | loss 1.0755 | lr 1.67e-04 | t 298s
step  4200 | loss 1.1496 | lr 1.62e-04 | t 305s
step  4300 | loss 1.0501 | lr 1.56e-04 | t 312s
step  4400 | loss 0.9857 | lr 1.51e-04 | t 319s
step  4500 | loss 0.7827 | lr 1.46e-04 | t 327s
step  4600 | loss 0.7364 | lr 1.41e-04 | t 334s
step  4700 | loss 0.8003 | lr 1.36e-04 | t 341s
step  4800 | loss 0.9567 | lr 1.31e-04 | t 348s
step  4900 | loss 1.0075 | lr 1.26e-04 | t 355s
step  5000 | loss 1.0605 | lr 1.22e-04 | t 363s
step  5100 | loss 0.9818 | lr 1.17e-04 | t 370s
step  5200 | loss 0.8290 | lr 1.12e-04 | t 377s
step  5300 | loss 1.0441 | lr 1.07e-04 | t 384s
step  5400 | loss 0.7929 | lr 1.03e-04 | t 392s
step  5500 | loss 0.7935 | lr 9.82e-05 | t 399s
step  5600 | loss 0.9782 | lr 9.37e-05 | t 406s
step  5700 | loss 1.0669 | lr 8.93e-05 | t 414s
step  5800 | loss 0.6734 | lr 8.51e-05 | t 421s
step  5900 | loss 0.8121 | lr 8.10e-05 | t 428s
step  6000 | loss 0.4422 | lr 7.71e-05 | t 435s
step  6100 | loss 0.8107 | lr 7.33e-05 | t 443s
step  6200 | loss 0.7711 | lr 6.97e-05 | t 450s
step  6300 | loss 0.9698 | lr 6.61e-05 | t 457s
step  6400 | loss 0.9197 | lr 6.26e-05 | t 465s
step  6500 | loss 0.6358 | lr 5.93e-05 | t 472s
step  6600 | loss 0.6621 | lr 5.62e-05 | t 479s
step  6700 | loss 0.8971 | lr 5.32e-05 | t 486s
step  6800 | loss 0.7509 | lr 5.05e-05 | t 494s
step  6900 | loss 0.8218 | lr 4.79e-05 | t 501s
step  7000 | loss 0.9448 | lr 4.54e-05 | t 508s
step  7100 | loss 0.5138 | lr 4.31e-05 | t 515s
step  7200 | loss 0.8498 | lr 4.09e-05 | t 523s
step  7300 | loss 1.0164 | lr 3.90e-05 | t 530s
step  7400 | loss 0.9737 | lr 3.72e-05 | t 537s
step  7500 | loss 0.6510 | lr 3.56e-05 | t 545s
step  7600 | loss 0.6768 | lr 3.42e-05 | t 552s
step  7700 | loss 0.7001 | lr 3.30e-05 | t 559s
step  7800 | loss 0.9493 | lr 3.21e-05 | t 567s
step  7900 | loss 0.6223 | lr 3.13e-05 | t 574s
step  8000 | loss 0.7361 | lr 3.06e-05 | t 581s
step  8100 | loss 0.8632 | lr 3.02e-05 | t 589s
step  8200 | loss 0.7815 | lr 3.00e-05 | t 596s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
