Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 379.6M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 9.7175 | lr 2.97e-04 | t 9s
step   200 | loss 3.9636 | lr 2.99e-04 | t 17s
step   300 | loss 4.1648 | lr 2.99e-04 | t 26s
step   400 | loss 2.5618 | lr 2.98e-04 | t 35s
step   500 | loss 2.5861 | lr 2.96e-04 | t 44s
step   600 | loss 2.1291 | lr 2.95e-04 | t 52s
step   700 | loss 2.4983 | lr 2.93e-04 | t 61s
step   800 | loss 2.5647 | lr 2.91e-04 | t 69s
step   900 | loss 1.7509 | lr 2.89e-04 | t 78s
step  1000 | loss 1.7838 | lr 2.86e-04 | t 86s
step  1100 | loss 2.1115 | lr 2.84e-04 | t 95s
step  1200 | loss 1.7401 | lr 2.81e-04 | t 103s
step  1300 | loss 1.6696 | lr 2.77e-04 | t 112s
step  1400 | loss 1.6771 | lr 2.74e-04 | t 121s
step  1500 | loss 1.9803 | lr 2.70e-04 | t 130s
step  1600 | loss 1.8529 | lr 2.66e-04 | t 138s
step  1700 | loss 2.0826 | lr 2.62e-04 | t 147s
step  1800 | loss 1.4088 | lr 2.57e-04 | t 156s
step  1900 | loss 1.7415 | lr 2.53e-04 | t 165s
step  2000 | loss 1.6349 | lr 2.48e-04 | t 173s
step  2100 | loss 1.7441 | lr 2.43e-04 | t 182s
step  2200 | loss 1.7478 | lr 2.38e-04 | t 191s
step  2300 | loss 1.7918 | lr 2.33e-04 | t 199s
step  2400 | loss 1.3833 | lr 2.27e-04 | t 208s
step  2500 | loss 1.4206 | lr 2.22e-04 | t 217s
step  2600 | loss 1.6014 | lr 2.16e-04 | t 226s
step  2700 | loss 1.6551 | lr 2.10e-04 | t 234s
step  2800 | loss 1.6368 | lr 2.05e-04 | t 243s
step  2900 | loss 1.1398 | lr 1.99e-04 | t 252s
step  3000 | loss 1.3554 | lr 1.93e-04 | t 261s
step  3100 | loss 1.6016 | lr 1.86e-04 | t 270s
step  3200 | loss 1.7140 | lr 1.80e-04 | t 278s
step  3300 | loss 1.1708 | lr 1.74e-04 | t 287s
step  3400 | loss 1.6714 | lr 1.68e-04 | t 296s
step  3500 | loss 1.5689 | lr 1.62e-04 | t 305s
step  3600 | loss 1.5321 | lr 1.55e-04 | t 314s
step  3700 | loss 1.2641 | lr 1.49e-04 | t 323s
step  3800 | loss 1.3788 | lr 1.43e-04 | t 331s
step  3900 | loss 1.6015 | lr 1.37e-04 | t 340s
step  4000 | loss 1.4801 | lr 1.31e-04 | t 349s
step  4100 | loss 1.4521 | lr 1.25e-04 | t 358s
step  4200 | loss 1.3843 | lr 1.19e-04 | t 366s
step  4300 | loss 1.3538 | lr 1.13e-04 | t 375s
step  4400 | loss 1.0601 | lr 1.08e-04 | t 384s
step  4500 | loss 1.1104 | lr 1.02e-04 | t 393s
step  4600 | loss 1.2631 | lr 9.66e-05 | t 401s
step  4700 | loss 1.0266 | lr 9.14e-05 | t 410s
step  4800 | loss 1.0056 | lr 8.62e-05 | t 419s
step  4900 | loss 1.1233 | lr 8.13e-05 | t 428s
step  5000 | loss 1.0474 | lr 7.65e-05 | t 437s
step  5100 | loss 1.2750 | lr 7.19e-05 | t 445s
step  5200 | loss 1.4378 | lr 6.74e-05 | t 454s
step  5300 | loss 1.3423 | lr 6.32e-05 | t 463s
step  5400 | loss 0.7953 | lr 5.92e-05 | t 472s
step  5500 | loss 1.2735 | lr 5.55e-05 | t 481s
step  5600 | loss 0.9794 | lr 5.19e-05 | t 490s
step  5700 | loss 1.4392 | lr 4.86e-05 | t 499s
step  5800 | loss 1.2357 | lr 4.56e-05 | t 507s
step  5900 | loss 1.2197 | lr 4.28e-05 | t 516s
step  6000 | loss 1.0161 | lr 4.03e-05 | t 525s
step  6100 | loss 1.2681 | lr 3.82e-05 | t 533s
step  6200 | loss 0.9727 | lr 3.62e-05 | t 542s
step  6300 | loss 1.0304 | lr 3.45e-05 | t 551s
step  6400 | loss 1.3065 | lr 3.30e-05 | t 559s
step  6500 | loss 0.8825 | lr 3.19e-05 | t 568s
step  6600 | loss 1.1029 | lr 3.10e-05 | t 577s
step  6700 | loss 1.2181 | lr 3.04e-05 | t 585s
step  6800 | loss 1.3476 | lr 3.01e-05 | t 594s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5581
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '1.000', '0.333', '0.000', '0.000', '0.333', '0.333']
