Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 12.4591 | lr 2.97e-04 | t 5s
step   200 | loss 7.8622 | lr 3.00e-04 | t 10s
step   300 | loss 3.1764 | lr 3.00e-04 | t 15s
step   400 | loss 3.4730 | lr 2.99e-04 | t 20s
step   500 | loss 2.6698 | lr 2.99e-04 | t 25s
step   600 | loss 2.0835 | lr 2.98e-04 | t 30s
step   700 | loss 2.3027 | lr 2.98e-04 | t 35s
step   800 | loss 1.8798 | lr 2.97e-04 | t 40s
step   900 | loss 2.0922 | lr 2.96e-04 | t 45s
step  1000 | loss 2.0923 | lr 2.95e-04 | t 50s
step  1100 | loss 1.7213 | lr 2.94e-04 | t 55s
step  1200 | loss 2.1145 | lr 2.93e-04 | t 60s
step  1300 | loss 2.4131 | lr 2.92e-04 | t 65s
step  1400 | loss 1.5410 | lr 2.91e-04 | t 70s
step  1500 | loss 1.8019 | lr 2.90e-04 | t 75s
step  1600 | loss 1.8858 | lr 2.88e-04 | t 80s
step  1700 | loss 1.7828 | lr 2.87e-04 | t 85s
step  1800 | loss 1.4416 | lr 2.85e-04 | t 90s
step  1900 | loss 1.8517 | lr 2.83e-04 | t 96s
step  2000 | loss 1.3624 | lr 2.82e-04 | t 101s
step  2100 | loss 1.7177 | lr 2.80e-04 | t 106s
step  2200 | loss 1.9066 | lr 2.78e-04 | t 111s
step  2300 | loss 1.9264 | lr 2.76e-04 | t 116s
step  2400 | loss 1.5804 | lr 2.74e-04 | t 121s
step  2500 | loss 1.5648 | lr 2.72e-04 | t 126s
step  2600 | loss 1.7104 | lr 2.70e-04 | t 130s
step  2700 | loss 1.3959 | lr 2.67e-04 | t 135s
step  2800 | loss 1.1790 | lr 2.65e-04 | t 140s
step  2900 | loss 1.5506 | lr 2.63e-04 | t 145s
step  3000 | loss 1.4807 | lr 2.60e-04 | t 150s
step  3100 | loss 1.2231 | lr 2.58e-04 | t 155s
step  3200 | loss 1.4164 | lr 2.55e-04 | t 160s
step  3300 | loss 1.4150 | lr 2.53e-04 | t 165s
step  3400 | loss 1.5185 | lr 2.50e-04 | t 170s
step  3500 | loss 1.4708 | lr 2.47e-04 | t 175s
step  3600 | loss 1.4188 | lr 2.44e-04 | t 180s
step  3700 | loss 1.5289 | lr 2.41e-04 | t 186s
step  3800 | loss 1.2223 | lr 2.38e-04 | t 191s
step  3900 | loss 1.1242 | lr 2.35e-04 | t 196s
step  4000 | loss 1.0840 | lr 2.32e-04 | t 201s
step  4100 | loss 1.1181 | lr 2.29e-04 | t 206s
step  4200 | loss 0.9894 | lr 2.26e-04 | t 211s
step  4300 | loss 1.4804 | lr 2.22e-04 | t 216s
step  4400 | loss 1.2458 | lr 2.19e-04 | t 221s
step  4500 | loss 1.5449 | lr 2.16e-04 | t 226s
step  4600 | loss 0.6864 | lr 2.13e-04 | t 231s
step  4700 | loss 1.0552 | lr 2.09e-04 | t 236s
step  4800 | loss 1.2278 | lr 2.06e-04 | t 241s
step  4900 | loss 1.1587 | lr 2.02e-04 | t 246s
step  5000 | loss 1.2516 | lr 1.99e-04 | t 251s
step  5100 | loss 0.9866 | lr 1.96e-04 | t 256s
step  5200 | loss 1.2436 | lr 1.92e-04 | t 261s
step  5300 | loss 1.2848 | lr 1.89e-04 | t 266s
step  5400 | loss 0.9738 | lr 1.85e-04 | t 271s
step  5500 | loss 1.2710 | lr 1.82e-04 | t 276s
step  5600 | loss 1.0757 | lr 1.78e-04 | t 281s
step  5700 | loss 1.0506 | lr 1.75e-04 | t 286s
step  5800 | loss 1.1327 | lr 1.71e-04 | t 291s
step  5900 | loss 0.8429 | lr 1.68e-04 | t 296s
