Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 10.8718 | lr 2.97e-04 | t 7s
step   200 | loss 2.5677 | lr 3.00e-04 | t 15s
step   300 | loss 3.4167 | lr 2.99e-04 | t 22s
step   400 | loss 2.5012 | lr 2.98e-04 | t 29s
step   500 | loss 2.7692 | lr 2.98e-04 | t 36s
step   600 | loss 2.1034 | lr 2.96e-04 | t 44s
step   700 | loss 2.2458 | lr 2.95e-04 | t 51s
step   800 | loss 1.6885 | lr 2.94e-04 | t 58s
step   900 | loss 2.3521 | lr 2.92e-04 | t 66s
step  1000 | loss 1.5527 | lr 2.90e-04 | t 73s
step  1100 | loss 1.4998 | lr 2.88e-04 | t 80s
step  1200 | loss 1.6775 | lr 2.86e-04 | t 88s
step  1300 | loss 1.8577 | lr 2.84e-04 | t 95s
step  1400 | loss 2.1190 | lr 2.81e-04 | t 102s
step  1500 | loss 2.2334 | lr 2.78e-04 | t 110s
step  1600 | loss 1.6748 | lr 2.75e-04 | t 117s
step  1700 | loss 1.9471 | lr 2.72e-04 | t 124s
step  1800 | loss 1.5962 | lr 2.69e-04 | t 132s
step  1900 | loss 1.5505 | lr 2.66e-04 | t 139s
step  2000 | loss 1.4428 | lr 2.62e-04 | t 146s
step  2100 | loss 1.5206 | lr 2.59e-04 | t 154s
step  2200 | loss 1.4707 | lr 2.55e-04 | t 161s
step  2300 | loss 1.5391 | lr 2.51e-04 | t 168s
step  2400 | loss 1.3931 | lr 2.47e-04 | t 175s
step  2500 | loss 1.1133 | lr 2.43e-04 | t 183s
step  2600 | loss 1.3592 | lr 2.38e-04 | t 190s
step  2700 | loss 1.0214 | lr 2.34e-04 | t 197s
step  2800 | loss 1.0380 | lr 2.30e-04 | t 205s
step  2900 | loss 1.6681 | lr 2.25e-04 | t 212s
step  3000 | loss 1.0586 | lr 2.20e-04 | t 220s
step  3100 | loss 0.8614 | lr 2.15e-04 | t 227s
step  3200 | loss 0.8378 | lr 2.11e-04 | t 234s
step  3300 | loss 1.0998 | lr 2.06e-04 | t 242s
step  3400 | loss 0.8666 | lr 2.01e-04 | t 249s
step  3500 | loss 1.1397 | lr 1.96e-04 | t 256s
step  3600 | loss 1.2054 | lr 1.90e-04 | t 264s
step  3700 | loss 1.1015 | lr 1.85e-04 | t 271s
step  3800 | loss 1.0568 | lr 1.80e-04 | t 278s
step  3900 | loss 0.7632 | lr 1.75e-04 | t 286s
step  4000 | loss 1.0230 | lr 1.70e-04 | t 293s
step  4100 | loss 0.8236 | lr 1.65e-04 | t 300s
step  4200 | loss 0.8545 | lr 1.60e-04 | t 308s
step  4300 | loss 1.0094 | lr 1.55e-04 | t 315s
step  4400 | loss 0.9267 | lr 1.50e-04 | t 322s
step  4500 | loss 0.8468 | lr 1.44e-04 | t 329s
step  4600 | loss 0.7614 | lr 1.39e-04 | t 337s
step  4700 | loss 0.6875 | lr 1.34e-04 | t 344s
step  4800 | loss 0.7457 | lr 1.29e-04 | t 351s
step  4900 | loss 0.8351 | lr 1.24e-04 | t 359s
step  5000 | loss 0.7478 | lr 1.19e-04 | t 366s
step  5100 | loss 0.8499 | lr 1.15e-04 | t 373s
step  5200 | loss 0.8031 | lr 1.10e-04 | t 380s
step  5300 | loss 0.7615 | lr 1.05e-04 | t 388s
step  5400 | loss 0.6382 | lr 1.00e-04 | t 395s
step  5500 | loss 0.9120 | lr 9.60e-05 | t 403s
step  5600 | loss 0.7028 | lr 9.15e-05 | t 410s
step  5700 | loss 0.9163 | lr 8.72e-05 | t 417s
step  5800 | loss 0.8971 | lr 8.30e-05 | t 425s
step  5900 | loss 0.6944 | lr 7.89e-05 | t 432s
step  6000 | loss 0.7316 | lr 7.49e-05 | t 440s
step  6100 | loss 0.5706 | lr 7.11e-05 | t 447s
step  6200 | loss 0.7451 | lr 6.74e-05 | t 454s
step  6300 | loss 0.5557 | lr 6.39e-05 | t 462s
step  6400 | loss 0.7740 | lr 6.05e-05 | t 469s
step  6500 | loss 0.6073 | lr 5.73e-05 | t 476s
step  6600 | loss 0.8270 | lr 5.43e-05 | t 484s
step  6700 | loss 0.4957 | lr 5.14e-05 | t 491s
step  6800 | loss 0.7153 | lr 4.87e-05 | t 498s
step  6900 | loss 0.6010 | lr 4.63e-05 | t 505s
step  7000 | loss 0.5864 | lr 4.39e-05 | t 513s
step  7100 | loss 0.6950 | lr 4.17e-05 | t 520s
step  7200 | loss 0.6608 | lr 3.97e-05 | t 527s
step  7300 | loss 0.7063 | lr 3.79e-05 | t 534s
step  7400 | loss 0.6569 | lr 3.62e-05 | t 542s
step  7500 | loss 0.7234 | lr 3.48e-05 | t 549s
step  7600 | loss 0.6876 | lr 3.35e-05 | t 556s
step  7700 | loss 0.6254 | lr 3.25e-05 | t 563s
step  7800 | loss 0.7250 | lr 3.16e-05 | t 571s
step  7900 | loss 0.6571 | lr 3.09e-05 | t 578s
step  8000 | loss 0.6964 | lr 3.04e-05 | t 585s
step  8100 | loss 0.6432 | lr 3.01e-05 | t 592s
step  8200 | loss 0.7152 | lr 3.00e-05 | t 600s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.4729
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.750', '1.000', '0.333', '0.000', '0.333', '0.333', '0.333']
