Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 18.2380 | lr 2.97e-04 | t 7s
step   200 | loss 6.1188 | lr 3.00e-04 | t 14s
step   300 | loss 3.4303 | lr 2.99e-04 | t 22s
step   400 | loss 4.5849 | lr 2.98e-04 | t 29s
step   500 | loss 4.4404 | lr 2.98e-04 | t 36s
step   600 | loss 4.4267 | lr 2.97e-04 | t 43s
step   700 | loss 3.1630 | lr 2.95e-04 | t 51s
step   800 | loss 4.2056 | lr 2.94e-04 | t 58s
step   900 | loss 4.2283 | lr 2.92e-04 | t 65s
step  1000 | loss 3.8416 | lr 2.90e-04 | t 73s
step  1100 | loss 4.2120 | lr 2.88e-04 | t 80s
step  1200 | loss 3.9022 | lr 2.86e-04 | t 87s
step  1300 | loss 4.0387 | lr 2.84e-04 | t 95s
step  1400 | loss 3.4703 | lr 2.81e-04 | t 102s
step  1500 | loss 3.7893 | lr 2.78e-04 | t 110s
step  1600 | loss 3.4015 | lr 2.76e-04 | t 117s
step  1700 | loss 4.6194 | lr 2.73e-04 | t 124s
step  1800 | loss 3.7300 | lr 2.69e-04 | t 131s
step  1900 | loss 4.2247 | lr 2.66e-04 | t 139s
step  2000 | loss 3.8037 | lr 2.62e-04 | t 146s
step  2100 | loss 3.2246 | lr 2.59e-04 | t 153s
step  2200 | loss 4.1784 | lr 2.55e-04 | t 161s
step  2300 | loss 2.7125 | lr 2.51e-04 | t 168s
step  2400 | loss 3.4601 | lr 2.47e-04 | t 176s
step  2500 | loss 2.5127 | lr 2.43e-04 | t 183s
step  2600 | loss 3.4834 | lr 2.38e-04 | t 190s
step  2700 | loss 3.2330 | lr 2.34e-04 | t 198s
step  2800 | loss 2.8682 | lr 2.29e-04 | t 205s
step  2900 | loss 3.3768 | lr 2.25e-04 | t 213s
step  3000 | loss 3.1157 | lr 2.20e-04 | t 220s
step  3100 | loss 3.0948 | lr 2.15e-04 | t 228s
step  3200 | loss 2.9900 | lr 2.10e-04 | t 235s
step  3300 | loss 2.8293 | lr 2.05e-04 | t 242s
step  3400 | loss 3.2122 | lr 2.00e-04 | t 250s
step  3500 | loss 3.1145 | lr 1.95e-04 | t 257s
step  3600 | loss 2.6173 | lr 1.90e-04 | t 264s
step  3700 | loss 2.3016 | lr 1.85e-04 | t 271s
step  3800 | loss 2.8084 | lr 1.80e-04 | t 279s
step  3900 | loss 3.5537 | lr 1.75e-04 | t 286s
step  4000 | loss 3.1447 | lr 1.69e-04 | t 294s
step  4100 | loss 2.5323 | lr 1.64e-04 | t 301s
step  4200 | loss 3.7090 | lr 1.59e-04 | t 309s
step  4300 | loss 2.7754 | lr 1.54e-04 | t 316s
step  4400 | loss 2.7105 | lr 1.48e-04 | t 323s
