Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 6.7093 | lr 2.97e-04 | t 6s
step   200 | loss 3.8215 | lr 3.00e-04 | t 12s
step   300 | loss 3.1756 | lr 2.99e-04 | t 19s
step   400 | loss 5.1945 | lr 2.99e-04 | t 25s
step   500 | loss 2.4686 | lr 2.98e-04 | t 31s
step   600 | loss 3.2276 | lr 2.97e-04 | t 38s
step   700 | loss 2.3713 | lr 2.96e-04 | t 44s
step   800 | loss 1.6518 | lr 2.95e-04 | t 50s
step   900 | loss 2.1252 | lr 2.94e-04 | t 56s
step  1000 | loss 1.5866 | lr 2.93e-04 | t 62s
step  1100 | loss 1.5931 | lr 2.91e-04 | t 69s
step  1200 | loss 1.1554 | lr 2.90e-04 | t 75s
step  1300 | loss 1.5643 | lr 2.88e-04 | t 81s
step  1400 | loss 1.9450 | lr 2.86e-04 | t 88s
step  1500 | loss 1.5287 | lr 2.84e-04 | t 94s
step  1600 | loss 1.9690 | lr 2.82e-04 | t 100s
step  1700 | loss 1.9560 | lr 2.80e-04 | t 106s
step  1800 | loss 1.7058 | lr 2.77e-04 | t 113s
step  1900 | loss 1.1564 | lr 2.75e-04 | t 119s
step  2000 | loss 1.5348 | lr 2.72e-04 | t 125s
step  2100 | loss 1.7448 | lr 2.69e-04 | t 132s
step  2200 | loss 1.8610 | lr 2.66e-04 | t 138s
step  2300 | loss 1.1059 | lr 2.63e-04 | t 144s
step  2400 | loss 1.1888 | lr 2.60e-04 | t 150s
step  2500 | loss 1.5463 | lr 2.57e-04 | t 157s
step  2600 | loss 1.4466 | lr 2.54e-04 | t 163s
step  2700 | loss 1.2878 | lr 2.50e-04 | t 169s
step  2800 | loss 1.4133 | lr 2.47e-04 | t 176s
step  2900 | loss 1.5478 | lr 2.43e-04 | t 182s
step  3000 | loss 1.3459 | lr 2.40e-04 | t 188s
step  3100 | loss 1.4775 | lr 2.36e-04 | t 195s
step  3200 | loss 1.4520 | lr 2.32e-04 | t 201s
step  3300 | loss 1.1471 | lr 2.28e-04 | t 207s
step  3400 | loss 1.0258 | lr 2.24e-04 | t 214s
step  3500 | loss 1.1051 | lr 2.20e-04 | t 220s
step  3600 | loss 1.2304 | lr 2.16e-04 | t 226s
step  3700 | loss 1.3201 | lr 2.12e-04 | t 233s
step  3800 | loss 1.4655 | lr 2.08e-04 | t 239s
step  3900 | loss 1.0232 | lr 2.03e-04 | t 245s
step  4000 | loss 1.1189 | lr 1.99e-04 | t 252s
step  4100 | loss 0.8523 | lr 1.94e-04 | t 258s
step  4200 | loss 1.0046 | lr 1.90e-04 | t 264s
step  4300 | loss 0.9400 | lr 1.86e-04 | t 271s
step  4400 | loss 1.0057 | lr 1.81e-04 | t 277s
