Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 8.8712 | lr 2.97e-04 | t 7s
step   200 | loss 3.5767 | lr 3.00e-04 | t 14s
step   300 | loss 3.1160 | lr 3.00e-04 | t 22s
step   400 | loss 2.9925 | lr 3.00e-04 | t 29s
step   500 | loss 2.5513 | lr 3.00e-04 | t 36s
step   600 | loss 2.1053 | lr 3.00e-04 | t 44s
step   700 | loss 1.9228 | lr 3.00e-04 | t 51s
step   800 | loss 2.3898 | lr 3.00e-04 | t 58s
step   900 | loss 1.4123 | lr 3.00e-04 | t 66s
step  1000 | loss 1.8779 | lr 3.00e-04 | t 73s
step  1100 | loss 1.6050 | lr 3.00e-04 | t 80s
step  1200 | loss 1.6777 | lr 3.00e-04 | t 88s
step  1300 | loss 1.8782 | lr 3.00e-04 | t 95s
step  1400 | loss 1.9308 | lr 3.00e-04 | t 102s
step  1500 | loss 1.7027 | lr 3.00e-04 | t 109s
step  1600 | loss 1.8679 | lr 3.00e-04 | t 117s
step  1700 | loss 1.8780 | lr 3.00e-04 | t 124s
step  1800 | loss 1.6046 | lr 3.00e-04 | t 131s
step  1900 | loss 1.9748 | lr 3.00e-04 | t 138s
step  2000 | loss 1.5896 | lr 3.00e-04 | t 145s
step  2100 | loss 1.3615 | lr 3.00e-04 | t 152s
step  2200 | loss 1.3749 | lr 3.00e-04 | t 160s
step  2300 | loss 1.7701 | lr 3.00e-04 | t 167s
step  2400 | loss 1.0060 | lr 3.00e-04 | t 174s
step  2500 | loss 1.4388 | lr 3.00e-04 | t 181s
step  2600 | loss 2.0139 | lr 3.00e-04 | t 188s
step  2700 | loss 1.3649 | lr 3.00e-04 | t 196s
step  2800 | loss 1.4047 | lr 3.00e-04 | t 203s
step  2900 | loss 1.6161 | lr 3.00e-04 | t 210s
step  3000 | loss 1.2150 | lr 3.00e-04 | t 217s
step  3100 | loss 1.5279 | lr 3.00e-04 | t 225s
