Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 13.2315 | lr 2.97e-04 | t 7s
step   200 | loss 8.9948 | lr 3.00e-04 | t 14s
step   300 | loss 4.9526 | lr 2.99e-04 | t 22s
step   400 | loss 6.3297 | lr 2.98e-04 | t 29s
step   500 | loss 3.3092 | lr 2.98e-04 | t 36s
step   600 | loss 2.5440 | lr 2.97e-04 | t 43s
step   700 | loss 2.0631 | lr 2.95e-04 | t 51s
step   800 | loss 2.3307 | lr 2.94e-04 | t 58s
step   900 | loss 2.4803 | lr 2.92e-04 | t 65s
step  1000 | loss 1.8279 | lr 2.90e-04 | t 72s
step  1100 | loss 2.3005 | lr 2.88e-04 | t 80s
step  1200 | loss 1.3672 | lr 2.86e-04 | t 87s
step  1300 | loss 1.6960 | lr 2.84e-04 | t 94s
step  1400 | loss 1.9731 | lr 2.81e-04 | t 101s
step  1500 | loss 1.9182 | lr 2.79e-04 | t 109s
step  1600 | loss 2.1374 | lr 2.76e-04 | t 116s
step  1700 | loss 1.7120 | lr 2.73e-04 | t 123s
step  1800 | loss 1.2529 | lr 2.70e-04 | t 130s
step  1900 | loss 1.7164 | lr 2.67e-04 | t 137s
step  2000 | loss 1.9619 | lr 2.63e-04 | t 145s
step  2100 | loss 1.7047 | lr 2.59e-04 | t 152s
step  2200 | loss 1.5034 | lr 2.56e-04 | t 159s
step  2300 | loss 1.4902 | lr 2.52e-04 | t 167s
step  2400 | loss 1.7056 | lr 2.48e-04 | t 174s
step  2500 | loss 1.2715 | lr 2.44e-04 | t 181s
step  2600 | loss 1.3913 | lr 2.39e-04 | t 188s
step  2700 | loss 1.6338 | lr 2.35e-04 | t 196s
step  2800 | loss 1.5932 | lr 2.31e-04 | t 203s
step  2900 | loss 1.4126 | lr 2.26e-04 | t 210s
step  3000 | loss 1.0783 | lr 2.21e-04 | t 218s
step  3100 | loss 1.5972 | lr 2.17e-04 | t 225s
step  3200 | loss 1.1177 | lr 2.12e-04 | t 232s
step  3300 | loss 1.4819 | lr 2.07e-04 | t 239s
step  3400 | loss 1.0654 | lr 2.02e-04 | t 247s
step  3500 | loss 1.5324 | lr 1.97e-04 | t 254s
step  3600 | loss 1.0179 | lr 1.93e-04 | t 261s
step  3700 | loss 1.0839 | lr 1.88e-04 | t 268s
step  3800 | loss 1.0905 | lr 1.83e-04 | t 275s
step  3900 | loss 1.0618 | lr 1.78e-04 | t 282s
step  4000 | loss 1.1430 | lr 1.73e-04 | t 289s
step  4100 | loss 1.4294 | lr 1.68e-04 | t 296s
step  4200 | loss 0.8594 | lr 1.63e-04 | t 304s
step  4300 | loss 1.2145 | lr 1.57e-04 | t 311s
step  4400 | loss 0.8475 | lr 1.52e-04 | t 318s
step  4500 | loss 1.0285 | lr 1.47e-04 | t 325s
step  4600 | loss 0.9834 | lr 1.42e-04 | t 333s
step  4700 | loss 1.2617 | lr 1.37e-04 | t 340s
step  4800 | loss 0.8678 | lr 1.32e-04 | t 347s
step  4900 | loss 0.9536 | lr 1.27e-04 | t 354s
step  5000 | loss 1.1485 | lr 1.22e-04 | t 362s
step  5100 | loss 1.0465 | lr 1.17e-04 | t 369s
step  5200 | loss 0.8990 | lr 1.12e-04 | t 376s
step  5300 | loss 1.0980 | lr 1.08e-04 | t 384s
step  5400 | loss 1.1533 | lr 1.03e-04 | t 391s
step  5500 | loss 0.8404 | lr 9.87e-05 | t 398s
step  5600 | loss 0.6851 | lr 9.43e-05 | t 405s
step  5700 | loss 1.2143 | lr 8.99e-05 | t 413s
step  5800 | loss 0.7358 | lr 8.56e-05 | t 420s
step  5900 | loss 0.9590 | lr 8.15e-05 | t 427s
step  6000 | loss 0.9301 | lr 7.74e-05 | t 435s
step  6100 | loss 0.8109 | lr 7.35e-05 | t 442s
step  6200 | loss 0.8466 | lr 6.98e-05 | t 449s
step  6300 | loss 0.9029 | lr 6.62e-05 | t 457s
step  6400 | loss 1.1687 | lr 6.29e-05 | t 464s
step  6500 | loss 0.7029 | lr 5.96e-05 | t 471s
step  6600 | loss 0.9415 | lr 5.64e-05 | t 479s
step  6700 | loss 0.8196 | lr 5.34e-05 | t 486s
step  6800 | loss 0.7635 | lr 5.06e-05 | t 493s
step  6900 | loss 1.0151 | lr 4.80e-05 | t 500s
step  7000 | loss 1.1254 | lr 4.55e-05 | t 508s
step  7100 | loss 0.8293 | lr 4.32e-05 | t 515s
step  7200 | loss 1.0312 | lr 4.11e-05 | t 522s
step  7300 | loss 0.9537 | lr 3.91e-05 | t 529s
step  7400 | loss 0.6190 | lr 3.74e-05 | t 537s
step  7500 | loss 0.8092 | lr 3.58e-05 | t 544s
step  7600 | loss 0.7209 | lr 3.44e-05 | t 551s
step  7700 | loss 0.8527 | lr 3.32e-05 | t 559s
step  7800 | loss 0.7553 | lr 3.21e-05 | t 566s
step  7900 | loss 0.8988 | lr 3.13e-05 | t 573s
step  8000 | loss 0.9048 | lr 3.07e-05 | t 581s
step  8100 | loss 0.5706 | lr 3.03e-05 | t 588s
step  8200 | loss 1.0231 | lr 3.00e-05 | t 595s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5008
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.750', '1.000', '0.333', '0.000', '0.000', '0.333', '0.333']
