Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 9.5315 | lr 2.97e-04 | t 7s
step   200 | loss 4.6040 | lr 3.00e-04 | t 14s
step   300 | loss 4.7257 | lr 2.99e-04 | t 21s
step   400 | loss 3.1583 | lr 2.99e-04 | t 28s
step   500 | loss 2.3277 | lr 2.98e-04 | t 35s
step   600 | loss 2.1485 | lr 2.97e-04 | t 43s
step   700 | loss 1.6673 | lr 2.95e-04 | t 50s
step   800 | loss 2.0330 | lr 2.94e-04 | t 57s
step   900 | loss 2.0894 | lr 2.93e-04 | t 64s
step  1000 | loss 2.0458 | lr 2.91e-04 | t 71s
step  1100 | loss 2.2457 | lr 2.89e-04 | t 78s
step  1200 | loss 2.4967 | lr 2.87e-04 | t 85s
step  1300 | loss 1.4199 | lr 2.85e-04 | t 92s
step  1400 | loss 1.8472 | lr 2.82e-04 | t 99s
step  1500 | loss 1.4342 | lr 2.80e-04 | t 106s
step  1600 | loss 2.2021 | lr 2.77e-04 | t 114s
step  1700 | loss 1.8367 | lr 2.74e-04 | t 121s
step  1800 | loss 2.0242 | lr 2.71e-04 | t 128s
step  1900 | loss 1.5538 | lr 2.68e-04 | t 135s
step  2000 | loss 1.8398 | lr 2.64e-04 | t 142s
step  2100 | loss 1.5370 | lr 2.61e-04 | t 149s
step  2200 | loss 1.8166 | lr 2.57e-04 | t 157s
step  2300 | loss 2.5712 | lr 2.53e-04 | t 164s
step  2400 | loss 1.4543 | lr 2.49e-04 | t 171s
step  2500 | loss 1.5479 | lr 2.45e-04 | t 178s
step  2600 | loss 1.5179 | lr 2.41e-04 | t 186s
step  2700 | loss 1.4259 | lr 2.37e-04 | t 193s
step  2800 | loss 1.3233 | lr 2.33e-04 | t 200s
step  2900 | loss 1.2941 | lr 2.28e-04 | t 207s
step  3000 | loss 1.6102 | lr 2.24e-04 | t 214s
step  3100 | loss 1.3454 | lr 2.19e-04 | t 221s
step  3200 | loss 1.2928 | lr 2.14e-04 | t 229s
step  3300 | loss 1.5041 | lr 2.09e-04 | t 236s
step  3400 | loss 1.1767 | lr 2.04e-04 | t 243s
step  3500 | loss 1.3980 | lr 1.99e-04 | t 251s
step  3600 | loss 1.0265 | lr 1.95e-04 | t 258s
step  3700 | loss 1.1266 | lr 1.90e-04 | t 265s
step  3800 | loss 1.1036 | lr 1.85e-04 | t 272s
step  3900 | loss 0.9318 | lr 1.80e-04 | t 279s
step  4000 | loss 1.2711 | lr 1.75e-04 | t 286s
step  4100 | loss 1.0395 | lr 1.70e-04 | t 294s
step  4200 | loss 1.2262 | lr 1.64e-04 | t 301s
step  4300 | loss 0.6722 | lr 1.59e-04 | t 308s
step  4400 | loss 0.9148 | lr 1.54e-04 | t 315s
step  4500 | loss 0.9528 | lr 1.49e-04 | t 322s
