Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 16.4782 | lr 2.97e-04 | t 7s
step   200 | loss 4.7592 | lr 3.00e-04 | t 14s
step   300 | loss 2.5967 | lr 2.99e-04 | t 22s
step   400 | loss 2.5938 | lr 2.98e-04 | t 29s
step   500 | loss 2.0418 | lr 2.98e-04 | t 36s
step   600 | loss 2.4391 | lr 2.97e-04 | t 43s
step   700 | loss 2.0751 | lr 2.95e-04 | t 51s
step   800 | loss 1.4784 | lr 2.94e-04 | t 58s
step   900 | loss 1.7096 | lr 2.92e-04 | t 65s
step  1000 | loss 1.4561 | lr 2.90e-04 | t 73s
step  1100 | loss 1.5189 | lr 2.88e-04 | t 80s
step  1200 | loss 1.7887 | lr 2.86e-04 | t 87s
step  1300 | loss 1.9253 | lr 2.84e-04 | t 95s
step  1400 | loss 2.1745 | lr 2.81e-04 | t 102s
step  1500 | loss 1.8783 | lr 2.79e-04 | t 109s
step  1600 | loss 1.7288 | lr 2.76e-04 | t 116s
step  1700 | loss 1.7432 | lr 2.73e-04 | t 123s
step  1800 | loss 1.5279 | lr 2.70e-04 | t 130s
step  1900 | loss 2.2070 | lr 2.66e-04 | t 138s
step  2000 | loss 1.7047 | lr 2.63e-04 | t 145s
step  2100 | loss 1.5523 | lr 2.59e-04 | t 152s
step  2200 | loss 1.6549 | lr 2.56e-04 | t 160s
step  2300 | loss 1.5838 | lr 2.52e-04 | t 167s
step  2400 | loss 1.2801 | lr 2.48e-04 | t 174s
step  2500 | loss 1.0091 | lr 2.43e-04 | t 182s
step  2600 | loss 1.3611 | lr 2.39e-04 | t 189s
step  2700 | loss 1.1159 | lr 2.35e-04 | t 196s
step  2800 | loss 1.3287 | lr 2.30e-04 | t 204s
step  2900 | loss 1.0563 | lr 2.26e-04 | t 211s
step  3000 | loss 1.4495 | lr 2.21e-04 | t 218s
step  3100 | loss 1.1355 | lr 2.16e-04 | t 226s
step  3200 | loss 1.5700 | lr 2.12e-04 | t 233s
step  3300 | loss 1.1318 | lr 2.07e-04 | t 240s
step  3400 | loss 1.1955 | lr 2.02e-04 | t 247s
step  3500 | loss 1.3032 | lr 1.97e-04 | t 254s
step  3600 | loss 0.8970 | lr 1.92e-04 | t 261s
step  3700 | loss 0.9282 | lr 1.87e-04 | t 269s
step  3800 | loss 0.9317 | lr 1.82e-04 | t 276s
step  3900 | loss 0.9636 | lr 1.77e-04 | t 283s
step  4000 | loss 0.9940 | lr 1.72e-04 | t 290s
step  4100 | loss 1.0475 | lr 1.67e-04 | t 298s
step  4200 | loss 1.0224 | lr 1.61e-04 | t 305s
step  4300 | loss 1.1150 | lr 1.56e-04 | t 312s
step  4400 | loss 0.9474 | lr 1.51e-04 | t 320s
step  4500 | loss 1.1023 | lr 1.46e-04 | t 327s
step  4600 | loss 0.9158 | lr 1.41e-04 | t 334s
step  4700 | loss 0.8348 | lr 1.36e-04 | t 341s
step  4800 | loss 0.7805 | lr 1.31e-04 | t 349s
step  4900 | loss 1.0621 | lr 1.26e-04 | t 356s
step  5000 | loss 0.7794 | lr 1.21e-04 | t 363s
step  5100 | loss 0.7741 | lr 1.16e-04 | t 371s
step  5200 | loss 1.0188 | lr 1.11e-04 | t 378s
step  5300 | loss 0.9100 | lr 1.07e-04 | t 385s
step  5400 | loss 0.8612 | lr 1.02e-04 | t 393s
step  5500 | loss 0.9864 | lr 9.77e-05 | t 400s
step  5600 | loss 0.7524 | lr 9.33e-05 | t 407s
step  5700 | loss 0.9249 | lr 8.91e-05 | t 414s
step  5800 | loss 1.1016 | lr 8.50e-05 | t 421s
step  5900 | loss 0.6579 | lr 8.10e-05 | t 428s
step  6000 | loss 1.1272 | lr 7.72e-05 | t 435s
step  6100 | loss 0.8883 | lr 7.34e-05 | t 443s
step  6200 | loss 0.8549 | lr 6.97e-05 | t 450s
step  6300 | loss 0.6188 | lr 6.61e-05 | t 457s
step  6400 | loss 0.8232 | lr 6.27e-05 | t 464s
step  6500 | loss 0.6717 | lr 5.94e-05 | t 472s
step  6600 | loss 0.6651 | lr 5.63e-05 | t 479s
step  6700 | loss 0.6601 | lr 5.34e-05 | t 486s
step  6800 | loss 0.8366 | lr 5.06e-05 | t 493s
step  6900 | loss 0.9021 | lr 4.79e-05 | t 501s
step  7000 | loss 0.8739 | lr 4.54e-05 | t 508s
step  7100 | loss 0.7255 | lr 4.31e-05 | t 515s
step  7200 | loss 0.7563 | lr 4.10e-05 | t 523s
step  7300 | loss 0.7185 | lr 3.90e-05 | t 530s
step  7400 | loss 0.7257 | lr 3.72e-05 | t 537s
step  7500 | loss 0.5667 | lr 3.57e-05 | t 545s
step  7600 | loss 0.7231 | lr 3.43e-05 | t 552s
step  7700 | loss 1.0255 | lr 3.31e-05 | t 559s
step  7800 | loss 0.4482 | lr 3.21e-05 | t 566s
step  7900 | loss 0.8705 | lr 3.13e-05 | t 574s
step  8000 | loss 0.9461 | lr 3.07e-05 | t 581s
step  8100 | loss 0.7893 | lr 3.03e-05 | t 588s
step  8200 | loss 0.6087 | lr 3.00e-05 | t 595s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.3929
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['1.000', '1.000', '0.333', '0.000', '0.333', '0.333', '0.333']
