Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 379.6M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 7.7939 | lr 2.97e-04 | t 8s
step   200 | loss 4.1543 | lr 2.99e-04 | t 17s
step   300 | loss 2.4798 | lr 2.99e-04 | t 25s
step   400 | loss 2.4451 | lr 2.98e-04 | t 34s
step   500 | loss 1.8041 | lr 2.97e-04 | t 42s
step   600 | loss 2.1058 | lr 2.95e-04 | t 50s
step   700 | loss 1.9485 | lr 2.94e-04 | t 59s
step   800 | loss 1.7850 | lr 2.92e-04 | t 67s
step   900 | loss 1.7984 | lr 2.90e-04 | t 76s
step  1000 | loss 2.2515 | lr 2.87e-04 | t 84s
step  1100 | loss 1.4916 | lr 2.84e-04 | t 93s
step  1200 | loss 2.1126 | lr 2.82e-04 | t 101s
step  1300 | loss 1.9032 | lr 2.78e-04 | t 110s
step  1400 | loss 2.0703 | lr 2.75e-04 | t 118s
step  1500 | loss 1.4749 | lr 2.72e-04 | t 126s
step  1600 | loss 1.8093 | lr 2.68e-04 | t 135s
step  1700 | loss 1.5585 | lr 2.64e-04 | t 143s
step  1800 | loss 1.7224 | lr 2.60e-04 | t 152s
step  1900 | loss 1.7918 | lr 2.55e-04 | t 161s
step  2000 | loss 1.1973 | lr 2.50e-04 | t 169s
step  2100 | loss 1.4592 | lr 2.46e-04 | t 178s
step  2200 | loss 1.4441 | lr 2.41e-04 | t 187s
step  2300 | loss 1.5712 | lr 2.36e-04 | t 195s
step  2400 | loss 1.5171 | lr 2.30e-04 | t 204s
step  2500 | loss 1.4086 | lr 2.25e-04 | t 212s
step  2600 | loss 1.3696 | lr 2.19e-04 | t 221s
step  2700 | loss 1.3288 | lr 2.14e-04 | t 229s
step  2800 | loss 1.3013 | lr 2.08e-04 | t 238s
step  2900 | loss 1.0814 | lr 2.02e-04 | t 246s
step  3000 | loss 1.2199 | lr 1.97e-04 | t 255s
step  3100 | loss 1.1644 | lr 1.91e-04 | t 264s
step  3200 | loss 1.1718 | lr 1.85e-04 | t 272s
step  3300 | loss 1.1151 | lr 1.79e-04 | t 281s
step  3400 | loss 1.3576 | lr 1.73e-04 | t 289s
step  3500 | loss 1.3148 | lr 1.66e-04 | t 298s
step  3600 | loss 1.0428 | lr 1.60e-04 | t 307s
step  3700 | loss 1.0411 | lr 1.54e-04 | t 316s
step  3800 | loss 1.1263 | lr 1.48e-04 | t 325s
step  3900 | loss 1.1528 | lr 1.42e-04 | t 333s
step  4000 | loss 1.1956 | lr 1.36e-04 | t 342s
step  4100 | loss 0.9822 | lr 1.30e-04 | t 350s
step  4200 | loss 1.0547 | lr 1.24e-04 | t 359s
step  4300 | loss 0.7733 | lr 1.18e-04 | t 367s
step  4400 | loss 0.8330 | lr 1.13e-04 | t 376s
step  4500 | loss 1.1477 | lr 1.07e-04 | t 384s
step  4600 | loss 1.1727 | lr 1.02e-04 | t 393s
step  4700 | loss 0.8355 | lr 9.64e-05 | t 402s
step  4800 | loss 0.8643 | lr 9.12e-05 | t 410s
step  4900 | loss 1.0839 | lr 8.62e-05 | t 419s
step  5000 | loss 0.6111 | lr 8.14e-05 | t 428s
step  5100 | loss 1.0650 | lr 7.67e-05 | t 436s
step  5200 | loss 1.0248 | lr 7.21e-05 | t 445s
step  5300 | loss 1.1394 | lr 6.77e-05 | t 454s
step  5400 | loss 0.8496 | lr 6.36e-05 | t 462s
step  5500 | loss 0.8380 | lr 5.95e-05 | t 471s
step  5600 | loss 0.8316 | lr 5.57e-05 | t 480s
step  5700 | loss 0.9054 | lr 5.22e-05 | t 489s
step  5800 | loss 0.8679 | lr 4.88e-05 | t 498s
step  5900 | loss 0.7001 | lr 4.58e-05 | t 507s
step  6000 | loss 0.6296 | lr 4.30e-05 | t 516s
step  6100 | loss 1.0782 | lr 4.05e-05 | t 524s
step  6200 | loss 0.6484 | lr 3.82e-05 | t 533s
step  6300 | loss 1.2170 | lr 3.62e-05 | t 542s
step  6400 | loss 0.8491 | lr 3.45e-05 | t 551s
step  6500 | loss 1.0389 | lr 3.30e-05 | t 559s
step  6600 | loss 0.9496 | lr 3.19e-05 | t 568s
step  6700 | loss 1.0671 | lr 3.10e-05 | t 577s
step  6800 | loss 0.8009 | lr 3.04e-05 | t 586s
step  6900 | loss 1.1069 | lr 3.01e-05 | t 595s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.5078
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '0.667', '0.667', '0.000', '0.667', '0.333', '0.000']
