Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 12.5068 | lr 2.97e-04 | t 5s
step   200 | loss 4.0048 | lr 3.00e-04 | t 10s
step   300 | loss 4.1521 | lr 3.00e-04 | t 15s
step   400 | loss 2.9978 | lr 2.99e-04 | t 20s
step   500 | loss 2.2306 | lr 2.99e-04 | t 25s
step   600 | loss 2.1507 | lr 2.98e-04 | t 30s
step   700 | loss 2.0953 | lr 2.98e-04 | t 35s
step   800 | loss 2.4901 | lr 2.97e-04 | t 40s
step   900 | loss 1.6448 | lr 2.96e-04 | t 46s
step  1000 | loss 2.1289 | lr 2.95e-04 | t 51s
step  1100 | loss 1.2885 | lr 2.94e-04 | t 56s
step  1200 | loss 1.6330 | lr 2.93e-04 | t 61s
step  1300 | loss 1.7988 | lr 2.92e-04 | t 66s
step  1400 | loss 1.7124 | lr 2.91e-04 | t 71s
step  1500 | loss 1.6105 | lr 2.90e-04 | t 76s
step  1600 | loss 2.0421 | lr 2.88e-04 | t 81s
step  1700 | loss 1.4092 | lr 2.87e-04 | t 86s
step  1800 | loss 1.6055 | lr 2.85e-04 | t 91s
step  1900 | loss 1.6307 | lr 2.83e-04 | t 96s
step  2000 | loss 1.1326 | lr 2.81e-04 | t 101s
step  2100 | loss 1.7464 | lr 2.80e-04 | t 107s
step  2200 | loss 1.4712 | lr 2.78e-04 | t 112s
step  2300 | loss 1.4158 | lr 2.76e-04 | t 117s
step  2400 | loss 1.2845 | lr 2.73e-04 | t 122s
step  2500 | loss 1.2981 | lr 2.71e-04 | t 127s
step  2600 | loss 1.0726 | lr 2.69e-04 | t 132s
step  2700 | loss 1.4954 | lr 2.67e-04 | t 137s
step  2800 | loss 1.6006 | lr 2.64e-04 | t 142s
step  2900 | loss 1.5248 | lr 2.62e-04 | t 147s
step  3000 | loss 1.2812 | lr 2.59e-04 | t 152s
step  3100 | loss 1.2720 | lr 2.57e-04 | t 157s
step  3200 | loss 1.5038 | lr 2.54e-04 | t 162s
step  3300 | loss 1.4237 | lr 2.51e-04 | t 167s
step  3400 | loss 1.1138 | lr 2.49e-04 | t 172s
step  3500 | loss 1.2380 | lr 2.46e-04 | t 178s
