Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 14.7899 | lr 2.97e-04 | t 7s
step   200 | loss 3.5756 | lr 3.00e-04 | t 14s
step   300 | loss 5.4372 | lr 2.99e-04 | t 22s
step   400 | loss 2.2384 | lr 2.98e-04 | t 29s
step   500 | loss 2.3404 | lr 2.98e-04 | t 36s
step   600 | loss 2.3584 | lr 2.97e-04 | t 43s
step   700 | loss 2.0887 | lr 2.95e-04 | t 51s
step   800 | loss 1.8669 | lr 2.94e-04 | t 58s
step   900 | loss 2.5369 | lr 2.92e-04 | t 65s
step  1000 | loss 1.8864 | lr 2.90e-04 | t 73s
step  1100 | loss 1.8852 | lr 2.88e-04 | t 80s
step  1200 | loss 1.9359 | lr 2.86e-04 | t 87s
step  1300 | loss 1.9432 | lr 2.84e-04 | t 94s
step  1400 | loss 1.9191 | lr 2.81e-04 | t 102s
step  1500 | loss 1.8658 | lr 2.79e-04 | t 109s
step  1600 | loss 1.7199 | lr 2.76e-04 | t 116s
step  1700 | loss 1.7108 | lr 2.73e-04 | t 124s
step  1800 | loss 1.6896 | lr 2.70e-04 | t 131s
step  1900 | loss 1.0838 | lr 2.66e-04 | t 138s
step  2000 | loss 1.4433 | lr 2.63e-04 | t 145s
step  2100 | loss 1.4184 | lr 2.59e-04 | t 152s
step  2200 | loss 1.5462 | lr 2.56e-04 | t 159s
step  2300 | loss 1.6315 | lr 2.52e-04 | t 167s
step  2400 | loss 1.4039 | lr 2.48e-04 | t 174s
step  2500 | loss 1.6533 | lr 2.44e-04 | t 181s
step  2600 | loss 1.2290 | lr 2.40e-04 | t 188s
step  2700 | loss 1.5975 | lr 2.35e-04 | t 195s
step  2800 | loss 1.1831 | lr 2.31e-04 | t 203s
step  2900 | loss 1.1392 | lr 2.26e-04 | t 210s
step  3000 | loss 1.1021 | lr 2.22e-04 | t 217s
step  3100 | loss 1.0485 | lr 2.17e-04 | t 224s
step  3200 | loss 1.2663 | lr 2.12e-04 | t 231s
step  3300 | loss 1.3819 | lr 2.08e-04 | t 239s
step  3400 | loss 1.3830 | lr 2.03e-04 | t 246s
step  3500 | loss 1.0963 | lr 1.98e-04 | t 253s
step  3600 | loss 0.9912 | lr 1.93e-04 | t 260s
step  3700 | loss 0.9791 | lr 1.88e-04 | t 267s
step  3800 | loss 1.1961 | lr 1.83e-04 | t 275s
step  3900 | loss 1.7066 | lr 1.78e-04 | t 282s
step  4000 | loss 0.9469 | lr 1.73e-04 | t 289s
step  4100 | loss 0.9876 | lr 1.68e-04 | t 296s
step  4200 | loss 0.9653 | lr 1.63e-04 | t 303s
step  4300 | loss 0.9604 | lr 1.58e-04 | t 310s
step  4400 | loss 1.0472 | lr 1.53e-04 | t 318s
step  4500 | loss 1.1148 | lr 1.48e-04 | t 325s
step  4600 | loss 0.9599 | lr 1.43e-04 | t 332s
step  4700 | loss 0.6790 | lr 1.38e-04 | t 339s
step  4800 | loss 0.9040 | lr 1.33e-04 | t 346s
step  4900 | loss 0.9574 | lr 1.28e-04 | t 354s
step  5000 | loss 0.9240 | lr 1.23e-04 | t 361s
step  5100 | loss 0.7339 | lr 1.18e-04 | t 368s
step  5200 | loss 0.7007 | lr 1.13e-04 | t 376s
step  5300 | loss 0.7659 | lr 1.08e-04 | t 383s
step  5400 | loss 0.5943 | lr 1.03e-04 | t 391s
step  5500 | loss 0.9118 | lr 9.88e-05 | t 398s
step  5600 | loss 0.6756 | lr 9.43e-05 | t 405s
step  5700 | loss 1.0077 | lr 8.99e-05 | t 413s
step  5800 | loss 0.6419 | lr 8.56e-05 | t 420s
step  5900 | loss 0.8240 | lr 8.14e-05 | t 428s
step  6000 | loss 0.9966 | lr 7.73e-05 | t 435s
step  6100 | loss 0.8019 | lr 7.34e-05 | t 442s
step  6200 | loss 0.8214 | lr 6.96e-05 | t 450s
step  6300 | loss 0.7020 | lr 6.61e-05 | t 457s
step  6400 | loss 0.8810 | lr 6.28e-05 | t 464s
step  6500 | loss 0.7921 | lr 5.95e-05 | t 471s
step  6600 | loss 0.8151 | lr 5.64e-05 | t 479s
step  6700 | loss 0.7699 | lr 5.34e-05 | t 486s
step  6800 | loss 0.7073 | lr 5.06e-05 | t 493s
step  6900 | loss 0.8134 | lr 4.80e-05 | t 500s
step  7000 | loss 0.6924 | lr 4.55e-05 | t 507s
step  7100 | loss 1.0516 | lr 4.33e-05 | t 515s
step  7200 | loss 0.6099 | lr 4.12e-05 | t 522s
step  7300 | loss 1.0566 | lr 3.92e-05 | t 529s
step  7400 | loss 0.7312 | lr 3.75e-05 | t 536s
step  7500 | loss 0.8864 | lr 3.59e-05 | t 544s
step  7600 | loss 0.7697 | lr 3.45e-05 | t 551s
step  7700 | loss 0.7811 | lr 3.33e-05 | t 558s
step  7800 | loss 0.9246 | lr 3.23e-05 | t 565s
step  7900 | loss 0.5889 | lr 3.14e-05 | t 572s
step  8000 | loss 0.6440 | lr 3.08e-05 | t 579s
step  8100 | loss 0.8121 | lr 3.03e-05 | t 586s
step  8200 | loss 0.6008 | lr 3.01e-05 | t 594s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.4645
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '1.000', '0.333', '0.333', '0.667', '0.333', '0.333']
