Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 9.0605 | lr 1.98e-04 | t 7s
step   200 | loss 3.0676 | lr 2.00e-04 | t 14s
step   300 | loss 2.6101 | lr 1.99e-04 | t 21s
step   400 | loss 2.2317 | lr 1.99e-04 | t 28s
step   500 | loss 2.2654 | lr 1.98e-04 | t 36s
step   600 | loss 2.7955 | lr 1.98e-04 | t 43s
step   700 | loss 2.4370 | lr 1.97e-04 | t 50s
step   800 | loss 2.2642 | lr 1.96e-04 | t 57s
step   900 | loss 1.5290 | lr 1.95e-04 | t 64s
step  1000 | loss 2.2557 | lr 1.94e-04 | t 72s
step  1100 | loss 1.7381 | lr 1.92e-04 | t 79s
step  1200 | loss 2.1610 | lr 1.91e-04 | t 86s
step  1300 | loss 1.8930 | lr 1.89e-04 | t 93s
step  1400 | loss 1.5519 | lr 1.88e-04 | t 101s
step  1500 | loss 1.8425 | lr 1.86e-04 | t 108s
step  1600 | loss 1.7327 | lr 1.84e-04 | t 115s
step  1700 | loss 1.9070 | lr 1.82e-04 | t 122s
step  1800 | loss 1.8265 | lr 1.80e-04 | t 130s
step  1900 | loss 1.6681 | lr 1.78e-04 | t 137s
step  2000 | loss 1.3785 | lr 1.76e-04 | t 144s
step  2100 | loss 1.8058 | lr 1.73e-04 | t 151s
step  2200 | loss 1.7045 | lr 1.71e-04 | t 159s
step  2300 | loss 1.4689 | lr 1.68e-04 | t 166s
step  2400 | loss 1.3088 | lr 1.65e-04 | t 173s
step  2500 | loss 1.4464 | lr 1.63e-04 | t 181s
step  2600 | loss 1.5129 | lr 1.60e-04 | t 188s
step  2700 | loss 0.9973 | lr 1.57e-04 | t 195s
step  2800 | loss 1.2964 | lr 1.54e-04 | t 203s
step  2900 | loss 1.0370 | lr 1.51e-04 | t 210s
step  3000 | loss 1.1103 | lr 1.48e-04 | t 217s
step  3100 | loss 1.2434 | lr 1.45e-04 | t 225s
step  3200 | loss 1.0086 | lr 1.41e-04 | t 232s
step  3300 | loss 0.9920 | lr 1.38e-04 | t 239s
step  3400 | loss 1.1132 | lr 1.35e-04 | t 246s
step  3500 | loss 1.0054 | lr 1.32e-04 | t 253s
step  3600 | loss 0.8880 | lr 1.28e-04 | t 261s
step  3700 | loss 1.1529 | lr 1.25e-04 | t 268s
step  3800 | loss 1.0648 | lr 1.22e-04 | t 275s
step  3900 | loss 0.8763 | lr 1.18e-04 | t 283s
step  4000 | loss 1.1913 | lr 1.15e-04 | t 290s
step  4100 | loss 1.1235 | lr 1.11e-04 | t 297s
step  4200 | loss 1.2837 | lr 1.08e-04 | t 305s
step  4300 | loss 1.0178 | lr 1.04e-04 | t 312s
step  4400 | loss 0.7175 | lr 1.01e-04 | t 319s
step  4500 | loss 0.9328 | lr 9.75e-05 | t 327s
step  4600 | loss 0.8459 | lr 9.41e-05 | t 334s
step  4700 | loss 0.7537 | lr 9.07e-05 | t 341s
step  4800 | loss 0.7225 | lr 8.74e-05 | t 349s
step  4900 | loss 0.8661 | lr 8.40e-05 | t 356s
step  5000 | loss 0.8225 | lr 8.07e-05 | t 363s
step  5100 | loss 0.8736 | lr 7.74e-05 | t 371s
step  5200 | loss 0.8739 | lr 7.42e-05 | t 378s
step  5300 | loss 0.7685 | lr 7.11e-05 | t 385s
step  5400 | loss 1.0208 | lr 6.80e-05 | t 393s
step  5500 | loss 0.9045 | lr 6.50e-05 | t 400s
step  5600 | loss 0.5591 | lr 6.20e-05 | t 407s
step  5700 | loss 0.9075 | lr 5.92e-05 | t 415s
step  5800 | loss 0.8158 | lr 5.64e-05 | t 422s
step  5900 | loss 0.7526 | lr 5.36e-05 | t 429s
step  6000 | loss 0.7854 | lr 5.10e-05 | t 437s
step  6100 | loss 0.7331 | lr 4.85e-05 | t 444s
step  6200 | loss 0.6609 | lr 4.60e-05 | t 451s
step  6300 | loss 0.5940 | lr 4.37e-05 | t 458s
step  6400 | loss 0.9731 | lr 4.14e-05 | t 466s
step  6500 | loss 0.7707 | lr 3.92e-05 | t 473s
step  6600 | loss 0.6796 | lr 3.72e-05 | t 480s
step  6700 | loss 0.7957 | lr 3.52e-05 | t 487s
step  6800 | loss 0.7518 | lr 3.34e-05 | t 495s
step  6900 | loss 0.7239 | lr 3.16e-05 | t 502s
step  7000 | loss 0.6986 | lr 3.00e-05 | t 509s
step  7100 | loss 0.9002 | lr 2.85e-05 | t 517s
step  7200 | loss 0.7002 | lr 2.71e-05 | t 524s
step  7300 | loss 0.7507 | lr 2.58e-05 | t 531s
step  7400 | loss 0.5833 | lr 2.46e-05 | t 539s
step  7500 | loss 0.5885 | lr 2.36e-05 | t 546s
step  7600 | loss 0.7445 | lr 2.27e-05 | t 553s
step  7700 | loss 0.7508 | lr 2.19e-05 | t 560s
step  7800 | loss 0.8529 | lr 2.13e-05 | t 568s
step  7900 | loss 0.9166 | lr 2.08e-05 | t 575s
step  8000 | loss 0.7791 | lr 2.04e-05 | t 582s
step  8100 | loss 0.6554 | lr 2.01e-05 | t 590s
step  8200 | loss 0.7937 | lr 2.00e-05 | t 597s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.3924
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.750', '1.000', '0.333', '0.333', '1.000', '0.333', '0.667']
