Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 14.6082 | lr 2.97e-04 | t 7s
step   200 | loss 3.2677 | lr 3.00e-04 | t 14s
step   300 | loss 4.2953 | lr 2.99e-04 | t 21s
step   400 | loss 2.8431 | lr 2.99e-04 | t 28s
step   500 | loss 2.2140 | lr 2.98e-04 | t 36s
step   600 | loss 2.4741 | lr 2.97e-04 | t 43s
step   700 | loss 2.0406 | lr 2.95e-04 | t 50s
step   800 | loss 2.8330 | lr 2.94e-04 | t 58s
step   900 | loss 1.6768 | lr 2.92e-04 | t 65s
step  1000 | loss 2.1515 | lr 2.91e-04 | t 72s
step  1100 | loss 1.8539 | lr 2.89e-04 | t 79s
step  1200 | loss 1.6651 | lr 2.86e-04 | t 87s
step  1300 | loss 1.5824 | lr 2.84e-04 | t 94s
step  1400 | loss 1.8812 | lr 2.82e-04 | t 101s
step  1500 | loss 1.3689 | lr 2.79e-04 | t 108s
step  1600 | loss 1.8026 | lr 2.76e-04 | t 116s
step  1700 | loss 2.1338 | lr 2.73e-04 | t 123s
step  1800 | loss 1.3481 | lr 2.70e-04 | t 130s
step  1900 | loss 1.4596 | lr 2.66e-04 | t 138s
step  2000 | loss 1.0240 | lr 2.63e-04 | t 145s
step  2100 | loss 1.7762 | lr 2.59e-04 | t 153s
step  2200 | loss 1.3485 | lr 2.55e-04 | t 160s
step  2300 | loss 1.2282 | lr 2.51e-04 | t 167s
step  2400 | loss 1.6488 | lr 2.47e-04 | t 175s
step  2500 | loss 1.7301 | lr 2.43e-04 | t 182s
step  2600 | loss 1.3050 | lr 2.39e-04 | t 189s
step  2700 | loss 1.5669 | lr 2.34e-04 | t 197s
step  2800 | loss 1.2849 | lr 2.30e-04 | t 204s
step  2900 | loss 1.2704 | lr 2.26e-04 | t 211s
step  3000 | loss 1.1841 | lr 2.21e-04 | t 218s
step  3100 | loss 0.9988 | lr 2.16e-04 | t 226s
step  3200 | loss 1.5464 | lr 2.11e-04 | t 233s
step  3300 | loss 1.5676 | lr 2.07e-04 | t 240s
step  3400 | loss 1.6322 | lr 2.02e-04 | t 248s
step  3500 | loss 1.6117 | lr 1.97e-04 | t 255s
step  3600 | loss 1.2819 | lr 1.92e-04 | t 262s
step  3700 | loss 1.4253 | lr 1.87e-04 | t 269s
step  3800 | loss 1.3763 | lr 1.82e-04 | t 276s
step  3900 | loss 1.1607 | lr 1.77e-04 | t 284s
step  4000 | loss 1.3316 | lr 1.71e-04 | t 291s
step  4100 | loss 1.6283 | lr 1.66e-04 | t 298s
step  4200 | loss 1.1670 | lr 1.61e-04 | t 305s
step  4300 | loss 1.1720 | lr 1.56e-04 | t 312s
step  4400 | loss 1.1164 | lr 1.51e-04 | t 320s
step  4500 | loss 0.9514 | lr 1.46e-04 | t 327s
step  4600 | loss 1.2505 | lr 1.41e-04 | t 334s
step  4700 | loss 1.0214 | lr 1.36e-04 | t 342s
step  4800 | loss 0.8578 | lr 1.31e-04 | t 349s
step  4900 | loss 0.8891 | lr 1.26e-04 | t 356s
step  5000 | loss 1.1477 | lr 1.21e-04 | t 364s
step  5100 | loss 1.0577 | lr 1.16e-04 | t 371s
step  5200 | loss 0.7804 | lr 1.11e-04 | t 378s
step  5300 | loss 1.0114 | lr 1.07e-04 | t 386s
step  5400 | loss 1.1833 | lr 1.02e-04 | t 393s
step  5500 | loss 0.8916 | lr 9.73e-05 | t 400s
step  5600 | loss 0.8333 | lr 9.29e-05 | t 408s
step  5700 | loss 1.0519 | lr 8.86e-05 | t 415s
step  5800 | loss 1.2107 | lr 8.44e-05 | t 422s
step  5900 | loss 0.6656 | lr 8.03e-05 | t 430s
step  6000 | loss 1.0530 | lr 7.63e-05 | t 437s
step  6100 | loss 0.9238 | lr 7.24e-05 | t 444s
step  6200 | loss 1.0942 | lr 6.87e-05 | t 452s
step  6300 | loss 1.0438 | lr 6.51e-05 | t 459s
step  6400 | loss 1.1642 | lr 6.17e-05 | t 466s
step  6500 | loss 0.7885 | lr 5.84e-05 | t 474s
step  6600 | loss 1.3167 | lr 5.53e-05 | t 481s
