Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 9.7313 | lr 2.97e-04 | t 7s
step   200 | loss 6.9486 | lr 3.00e-04 | t 14s
step   300 | loss 3.3485 | lr 2.99e-04 | t 22s
step   400 | loss 2.6852 | lr 2.98e-04 | t 29s
step   500 | loss 3.1453 | lr 2.98e-04 | t 36s
step   600 | loss 2.2359 | lr 2.97e-04 | t 43s
step   700 | loss 2.1569 | lr 2.95e-04 | t 51s
step   800 | loss 1.9994 | lr 2.94e-04 | t 58s
step   900 | loss 1.9136 | lr 2.92e-04 | t 65s
step  1000 | loss 1.2539 | lr 2.90e-04 | t 73s
step  1100 | loss 2.1664 | lr 2.88e-04 | t 80s
step  1200 | loss 2.1381 | lr 2.86e-04 | t 87s
step  1300 | loss 1.4237 | lr 2.84e-04 | t 95s
step  1400 | loss 1.7746 | lr 2.81e-04 | t 102s
step  1500 | loss 2.1267 | lr 2.78e-04 | t 109s
step  1600 | loss 1.7557 | lr 2.76e-04 | t 117s
step  1700 | loss 1.6005 | lr 2.73e-04 | t 124s
step  1800 | loss 1.4078 | lr 2.69e-04 | t 131s
step  1900 | loss 1.8709 | lr 2.66e-04 | t 139s
step  2000 | loss 1.4892 | lr 2.63e-04 | t 146s
step  2100 | loss 1.8201 | lr 2.59e-04 | t 153s
step  2200 | loss 1.9003 | lr 2.55e-04 | t 161s
step  2300 | loss 1.1982 | lr 2.51e-04 | t 168s
step  2400 | loss 1.9912 | lr 2.47e-04 | t 175s
step  2500 | loss 1.4928 | lr 2.43e-04 | t 183s
step  2600 | loss 1.2056 | lr 2.39e-04 | t 190s
step  2700 | loss 1.7944 | lr 2.34e-04 | t 197s
step  2800 | loss 1.3889 | lr 2.30e-04 | t 204s
step  2900 | loss 1.5158 | lr 2.25e-04 | t 211s
step  3000 | loss 1.3784 | lr 2.21e-04 | t 219s
step  3100 | loss 1.2892 | lr 2.16e-04 | t 226s
step  3200 | loss 1.6387 | lr 2.11e-04 | t 233s
step  3300 | loss 1.3214 | lr 2.06e-04 | t 241s
step  3400 | loss 0.9862 | lr 2.01e-04 | t 248s
step  3500 | loss 1.5175 | lr 1.96e-04 | t 255s
step  3600 | loss 0.9991 | lr 1.91e-04 | t 263s
step  3700 | loss 1.1159 | lr 1.86e-04 | t 270s
step  3800 | loss 1.2526 | lr 1.81e-04 | t 277s
step  3900 | loss 1.4978 | lr 1.76e-04 | t 284s
step  4000 | loss 1.1043 | lr 1.71e-04 | t 292s
step  4100 | loss 1.2443 | lr 1.66e-04 | t 299s
step  4200 | loss 1.1980 | lr 1.61e-04 | t 306s
step  4300 | loss 1.0516 | lr 1.55e-04 | t 314s
step  4400 | loss 1.0864 | lr 1.50e-04 | t 321s
step  4500 | loss 1.3828 | lr 1.45e-04 | t 328s
step  4600 | loss 1.1378 | lr 1.40e-04 | t 335s
step  4700 | loss 0.9553 | lr 1.35e-04 | t 343s
step  4800 | loss 1.3426 | lr 1.30e-04 | t 350s
step  4900 | loss 0.9467 | lr 1.25e-04 | t 358s
step  5000 | loss 0.8014 | lr 1.20e-04 | t 365s
step  5100 | loss 1.0623 | lr 1.15e-04 | t 372s
step  5200 | loss 1.1616 | lr 1.10e-04 | t 380s
step  5300 | loss 0.9596 | lr 1.06e-04 | t 387s
step  5400 | loss 0.7272 | lr 1.01e-04 | t 394s
step  5500 | loss 0.8966 | lr 9.66e-05 | t 401s
step  5600 | loss 0.9305 | lr 9.22e-05 | t 409s
step  5700 | loss 0.8364 | lr 8.79e-05 | t 416s
step  5800 | loss 1.0810 | lr 8.37e-05 | t 423s
step  5900 | loss 1.0182 | lr 7.96e-05 | t 431s
step  6000 | loss 0.8490 | lr 7.57e-05 | t 438s
step  6100 | loss 0.9276 | lr 7.19e-05 | t 445s
step  6200 | loss 0.9251 | lr 6.82e-05 | t 453s
step  6300 | loss 0.7104 | lr 6.46e-05 | t 460s
step  6400 | loss 0.8513 | lr 6.12e-05 | t 467s
step  6500 | loss 0.7658 | lr 5.80e-05 | t 475s
step  6600 | loss 0.9338 | lr 5.49e-05 | t 482s
step  6700 | loss 0.9953 | lr 5.21e-05 | t 489s
step  6800 | loss 0.8972 | lr 4.93e-05 | t 497s
step  6900 | loss 1.0161 | lr 4.67e-05 | t 504s
step  7000 | loss 0.8044 | lr 4.43e-05 | t 511s
step  7100 | loss 0.6488 | lr 4.20e-05 | t 519s
step  7200 | loss 0.9025 | lr 4.00e-05 | t 526s
step  7300 | loss 1.1218 | lr 3.81e-05 | t 533s
step  7400 | loss 0.9493 | lr 3.65e-05 | t 541s
step  7500 | loss 1.0663 | lr 3.50e-05 | t 548s
step  7600 | loss 1.0102 | lr 3.37e-05 | t 555s
step  7700 | loss 0.9053 | lr 3.26e-05 | t 562s
step  7800 | loss 0.9813 | lr 3.17e-05 | t 570s
step  7900 | loss 1.0664 | lr 3.10e-05 | t 577s
step  8000 | loss 0.6974 | lr 3.05e-05 | t 584s
step  8100 | loss 0.9479 | lr 3.01e-05 | t 592s
step  8200 | loss 0.9366 | lr 3.00e-05 | t 599s
Evaluating held-out loss...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  eval_loss: 0.4670
Evaluating acceptance length...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
  per_position_acc: ['0.500', '1.000', '0.333', '0.000', '0.333', '0.333', '0.333']
