Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 318.8M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 8.4220 | lr 2.97e-04 | t 8s
step   200 | loss 3.8701 | lr 3.00e-04 | t 16s
step   300 | loss 2.2115 | lr 2.99e-04 | t 24s
step   400 | loss 3.6420 | lr 2.98e-04 | t 31s
step   500 | loss 2.5673 | lr 2.97e-04 | t 39s
step   600 | loss 2.0342 | lr 2.96e-04 | t 48s
step   700 | loss 2.3310 | lr 2.94e-04 | t 56s
step   800 | loss 2.2910 | lr 2.93e-04 | t 64s
step   900 | loss 1.8461 | lr 2.91e-04 | t 72s
step  1000 | loss 1.6600 | lr 2.88e-04 | t 79s
step  1100 | loss 1.5395 | lr 2.86e-04 | t 87s
step  1200 | loss 1.8574 | lr 2.84e-04 | t 95s
step  1300 | loss 1.8804 | lr 2.81e-04 | t 103s
step  1400 | loss 1.6239 | lr 2.78e-04 | t 111s
step  1500 | loss 1.2163 | lr 2.75e-04 | t 119s
step  1600 | loss 1.5191 | lr 2.71e-04 | t 127s
step  1700 | loss 1.7573 | lr 2.68e-04 | t 135s
step  1800 | loss 1.6886 | lr 2.64e-04 | t 143s
step  1900 | loss 1.7524 | lr 2.60e-04 | t 151s
step  2000 | loss 1.5068 | lr 2.56e-04 | t 159s
step  2100 | loss 1.3885 | lr 2.52e-04 | t 166s
step  2200 | loss 1.2943 | lr 2.47e-04 | t 175s
step  2300 | loss 1.4012 | lr 2.43e-04 | t 183s
step  2400 | loss 1.2854 | lr 2.38e-04 | t 191s
step  2500 | loss 1.2710 | lr 2.33e-04 | t 199s
step  2600 | loss 1.0952 | lr 2.28e-04 | t 207s
step  2700 | loss 1.2667 | lr 2.23e-04 | t 215s
step  2800 | loss 1.4546 | lr 2.18e-04 | t 223s
step  2900 | loss 1.4912 | lr 2.13e-04 | t 231s
step  3000 | loss 1.4514 | lr 2.08e-04 | t 239s
step  3100 | loss 1.4064 | lr 2.02e-04 | t 247s
step  3200 | loss 1.1503 | lr 1.97e-04 | t 255s
step  3300 | loss 1.2417 | lr 1.91e-04 | t 263s
step  3400 | loss 1.5732 | lr 1.86e-04 | t 271s
step  3500 | loss 0.9245 | lr 1.80e-04 | t 279s
step  3600 | loss 1.1284 | lr 1.74e-04 | t 287s
