Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 14.1460 | lr 2.97e-04 | t 7s
step   200 | loss 5.4827 | lr 3.00e-04 | t 14s
step   300 | loss 3.0850 | lr 2.99e-04 | t 22s
step   400 | loss 2.3216 | lr 2.98e-04 | t 29s
step   500 | loss 2.1885 | lr 2.98e-04 | t 36s
step   600 | loss 2.2525 | lr 2.96e-04 | t 44s
step   700 | loss 1.9542 | lr 2.95e-04 | t 51s
step   800 | loss 2.0581 | lr 2.94e-04 | t 58s
step   900 | loss 1.9457 | lr 2.92e-04 | t 66s
step  1000 | loss 2.0697 | lr 2.90e-04 | t 73s
step  1100 | loss 1.7405 | lr 2.88e-04 | t 80s
step  1200 | loss 2.1861 | lr 2.86e-04 | t 87s
step  1300 | loss 1.7964 | lr 2.84e-04 | t 95s
step  1400 | loss 1.4863 | lr 2.81e-04 | t 102s
step  1500 | loss 1.6669 | lr 2.78e-04 | t 110s
step  1600 | loss 1.7548 | lr 2.75e-04 | t 117s
step  1700 | loss 1.4709 | lr 2.72e-04 | t 124s
step  1800 | loss 1.8952 | lr 2.69e-04 | t 132s
step  1900 | loss 1.7559 | lr 2.66e-04 | t 139s
step  2000 | loss 1.5135 | lr 2.62e-04 | t 146s
step  2100 | loss 1.6187 | lr 2.59e-04 | t 154s
step  2200 | loss 1.7757 | lr 2.55e-04 | t 161s
step  2300 | loss 1.7003 | lr 2.51e-04 | t 168s
step  2400 | loss 1.5943 | lr 2.47e-04 | t 175s
step  2500 | loss 1.0702 | lr 2.43e-04 | t 182s
step  2600 | loss 1.4047 | lr 2.39e-04 | t 190s
step  2700 | loss 1.2723 | lr 2.34e-04 | t 197s
step  2800 | loss 1.5338 | lr 2.30e-04 | t 204s
step  2900 | loss 1.4139 | lr 2.25e-04 | t 211s
step  3000 | loss 1.7529 | lr 2.21e-04 | t 219s
step  3100 | loss 1.4686 | lr 2.15e-04 | t 227s
step  3200 | loss 1.0616 | lr 2.10e-04 | t 235s
step  3300 | loss 1.0715 | lr 2.03e-04 | t 246s
step  3400 | loss 1.2375 | lr 1.93e-04 | t 260s
step  3500 | loss 1.2815 | lr 1.83e-04 | t 274s
step  3600 | loss 1.4871 | lr 1.73e-04 | t 289s
step  3700 | loss 1.0415 | lr 1.62e-04 | t 304s
step  3800 | loss 1.2582 | lr 1.52e-04 | t 319s
step  3900 | loss 1.3438 | lr 1.42e-04 | t 333s
step  4000 | loss 1.5941 | lr 1.32e-04 | t 348s
step  4100 | loss 1.5315 | lr 1.21e-04 | t 363s
step  4200 | loss 1.2661 | lr 1.09e-04 | t 381s
step  4300 | loss 0.7504 | lr 9.98e-05 | t 396s
