Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 600s)...
step   100 | loss 10.1004 | lr 2.97e-04 | t 21s
step   200 | loss 4.9957 | lr 2.97e-04 | t 41s
step   300 | loss 4.5437 | lr 2.94e-04 | t 59s
step   400 | loss 2.3471 | lr 2.90e-04 | t 73s
step   500 | loss 2.1232 | lr 2.86e-04 | t 87s
step   600 | loss 1.9084 | lr 2.81e-04 | t 102s
step   700 | loss 2.7806 | lr 2.76e-04 | t 116s
step   800 | loss 2.6555 | lr 2.70e-04 | t 131s
step   900 | loss 2.0784 | lr 2.63e-04 | t 145s
step  1000 | loss 1.3971 | lr 2.55e-04 | t 160s
step  1100 | loss 2.0766 | lr 2.48e-04 | t 174s
step  1200 | loss 1.8603 | lr 2.40e-04 | t 188s
step  1300 | loss 1.5896 | lr 2.31e-04 | t 203s
step  1400 | loss 1.8638 | lr 2.22e-04 | t 217s
step  1500 | loss 1.6395 | lr 2.12e-04 | t 232s
step  1600 | loss 1.6637 | lr 2.03e-04 | t 246s
step  1700 | loss 1.4727 | lr 1.92e-04 | t 261s
step  1800 | loss 1.6584 | lr 1.83e-04 | t 275s
step  1900 | loss 1.4338 | lr 1.75e-04 | t 286s
step  2000 | loss 1.5782 | lr 1.70e-04 | t 293s
step  2100 | loss 1.6693 | lr 1.64e-04 | t 301s
step  2200 | loss 1.5060 | lr 1.59e-04 | t 308s
step  2300 | loss 1.7160 | lr 1.54e-04 | t 315s
step  2400 | loss 1.6305 | lr 1.49e-04 | t 322s
step  2500 | loss 1.4955 | lr 1.44e-04 | t 329s
step  2600 | loss 1.7027 | lr 1.39e-04 | t 337s
step  2700 | loss 1.0821 | lr 1.34e-04 | t 344s
step  2800 | loss 1.1388 | lr 1.29e-04 | t 352s
step  2900 | loss 1.7094 | lr 1.24e-04 | t 359s
step  3000 | loss 1.4852 | lr 1.19e-04 | t 366s
step  3100 | loss 1.3508 | lr 1.14e-04 | t 373s
step  3200 | loss 1.4192 | lr 1.10e-04 | t 380s
step  3300 | loss 1.2508 | lr 1.05e-04 | t 388s
step  3400 | loss 0.9923 | lr 1.00e-04 | t 395s
step  3500 | loss 1.0659 | lr 9.60e-05 | t 403s
step  3600 | loss 1.6419 | lr 9.17e-05 | t 410s
step  3700 | loss 1.7946 | lr 8.76e-05 | t 417s
step  3800 | loss 1.1211 | lr 8.35e-05 | t 424s
step  3900 | loss 1.3151 | lr 7.95e-05 | t 431s
step  4000 | loss 1.0210 | lr 7.57e-05 | t 438s
step  4100 | loss 1.0350 | lr 7.19e-05 | t 445s
step  4200 | loss 1.1042 | lr 6.83e-05 | t 452s
step  4300 | loss 1.4170 | lr 6.48e-05 | t 460s
step  4400 | loss 1.3357 | lr 6.14e-05 | t 467s
step  4500 | loss 1.1231 | lr 5.82e-05 | t 474s
step  4600 | loss 1.5146 | lr 5.52e-05 | t 481s
step  4700 | loss 1.2953 | lr 5.23e-05 | t 489s
