Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (1 epoch = 11717 batches, ~46868 grad updates @ inner_steps=4)...
step   100/46868 | loss 10.0884 | lr 2.97e-04 | t 7s
step   200/46868 | loss 3.9563 | lr 3.00e-04 | t 14s
step   300/46868 | loss 3.0747 | lr 3.00e-04 | t 21s
step   400/46868 | loss 2.3663 | lr 3.00e-04 | t 29s
step   500/46868 | loss 2.3693 | lr 3.00e-04 | t 36s
step   600/46868 | loss 2.0884 | lr 3.00e-04 | t 43s
step   700/46868 | loss 2.3956 | lr 3.00e-04 | t 50s
step   800/46868 | loss 2.0077 | lr 3.00e-04 | t 58s
step   900/46868 | loss 2.1679 | lr 3.00e-04 | t 65s
step  1000/46868 | loss 2.3602 | lr 3.00e-04 | t 72s
step  1100/46868 | loss 1.8334 | lr 3.00e-04 | t 79s
step  1200/46868 | loss 1.7762 | lr 3.00e-04 | t 87s
step  1300/46868 | loss 1.7357 | lr 3.00e-04 | t 94s
step  1400/46868 | loss 1.5925 | lr 2.99e-04 | t 101s
step  1500/46868 | loss 1.3714 | lr 2.99e-04 | t 109s
step  1600/46868 | loss 1.6219 | lr 2.99e-04 | t 116s
step  1700/46868 | loss 1.4926 | lr 2.99e-04 | t 123s
step  1800/46868 | loss 2.0737 | lr 2.99e-04 | t 130s
step  1900/46868 | loss 1.8402 | lr 2.99e-04 | t 137s
step  2000/46868 | loss 1.5231 | lr 2.99e-04 | t 144s
step  2100/46868 | loss 2.0017 | lr 2.99e-04 | t 152s
step  2200/46868 | loss 1.6423 | lr 2.99e-04 | t 159s
step  2300/46868 | loss 1.8257 | lr 2.99e-04 | t 166s
step  2400/46868 | loss 1.7448 | lr 2.98e-04 | t 173s
step  2500/46868 | loss 1.5361 | lr 2.98e-04 | t 181s
step  2600/46868 | loss 1.4308 | lr 2.98e-04 | t 188s
step  2700/46868 | loss 1.2501 | lr 2.98e-04 | t 195s
step  2800/46868 | loss 1.0865 | lr 2.98e-04 | t 202s
step  2900/46868 | loss 1.2987 | lr 2.98e-04 | t 210s
step  3000/46868 | loss 1.6337 | lr 2.97e-04 | t 217s
step  3100/46868 | loss 1.2814 | lr 2.97e-04 | t 224s
step  3200/46868 | loss 1.3583 | lr 2.97e-04 | t 231s
step  3300/46868 | loss 1.6465 | lr 2.97e-04 | t 239s
step  3400/46868 | loss 1.2431 | lr 2.97e-04 | t 246s
step  3500/46868 | loss 1.2087 | lr 2.96e-04 | t 253s
step  3600/46868 | loss 1.2166 | lr 2.96e-04 | t 260s
step  3700/46868 | loss 1.5608 | lr 2.96e-04 | t 268s
step  3800/46868 | loss 1.2463 | lr 2.96e-04 | t 275s
step  3900/46868 | loss 1.3642 | lr 2.96e-04 | t 282s
step  4000/46868 | loss 1.3403 | lr 2.95e-04 | t 290s
step  4100/46868 | loss 1.2883 | lr 2.95e-04 | t 297s
step  4200/46868 | loss 1.1962 | lr 2.95e-04 | t 304s
step  4300/46868 | loss 1.6212 | lr 2.95e-04 | t 312s
step  4400/46868 | loss 1.1406 | lr 2.94e-04 | t 319s
step  4500/46868 | loss 1.4544 | lr 2.94e-04 | t 326s
step  4600/46868 | loss 1.0826 | lr 2.94e-04 | t 334s
step  4700/46868 | loss 1.0928 | lr 2.94e-04 | t 341s
step  4800/46868 | loss 0.7684 | lr 2.93e-04 | t 348s
step  4900/46868 | loss 0.9137 | lr 2.93e-04 | t 355s
