Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 900s, inner_steps=4)...
step   100 | loss 10.2471 | lr 2.97e-04 | t 9s
step   200 | loss 5.0603 | lr 3.00e-04 | t 19s
step   300 | loss 3.0019 | lr 2.99e-04 | t 26s
step   400 | loss 2.5001 | lr 2.99e-04 | t 33s
step   500 | loss 2.9815 | lr 2.99e-04 | t 41s
step   600 | loss 1.9493 | lr 2.98e-04 | t 48s
step   700 | loss 2.1886 | lr 2.97e-04 | t 55s
step   800 | loss 3.8740 | lr 2.97e-04 | t 63s
step   900 | loss 1.7644 | lr 2.96e-04 | t 70s
step  1000 | loss 2.1715 | lr 2.95e-04 | t 77s
step  1100 | loss 1.5772 | lr 2.94e-04 | t 84s
step  1200 | loss 1.5938 | lr 2.93e-04 | t 92s
step  1300 | loss 1.5459 | lr 2.92e-04 | t 99s
step  1400 | loss 1.7089 | lr 2.91e-04 | t 106s
step  1500 | loss 1.7463 | lr 2.90e-04 | t 113s
step  1600 | loss 1.3601 | lr 2.88e-04 | t 120s
step  1700 | loss 1.6381 | lr 2.87e-04 | t 127s
step  1800 | loss 1.7403 | lr 2.85e-04 | t 134s
step  1900 | loss 1.4144 | lr 2.84e-04 | t 141s
step  2000 | loss 1.3056 | lr 2.82e-04 | t 149s
step  2100 | loss 1.9083 | lr 2.80e-04 | t 156s
step  2200 | loss 1.7630 | lr 2.79e-04 | t 163s
step  2300 | loss 1.5044 | lr 2.77e-04 | t 171s
step  2400 | loss 1.5003 | lr 2.75e-04 | t 178s
step  2500 | loss 1.6611 | lr 2.73e-04 | t 185s
step  2600 | loss 1.3789 | lr 2.71e-04 | t 193s
step  2700 | loss 1.3884 | lr 2.68e-04 | t 200s
step  2800 | loss 1.2192 | lr 2.66e-04 | t 207s
step  2900 | loss 1.5666 | lr 2.64e-04 | t 214s
step  3000 | loss 1.4221 | lr 2.62e-04 | t 221s
step  3100 | loss 1.2883 | lr 2.59e-04 | t 229s
step  3200 | loss 1.2604 | lr 2.57e-04 | t 236s
step  3300 | loss 0.8962 | lr 2.54e-04 | t 243s
step  3400 | loss 1.1375 | lr 2.52e-04 | t 250s
step  3500 | loss 1.2501 | lr 2.49e-04 | t 257s
step  3600 | loss 1.3036 | lr 2.46e-04 | t 265s
step  3700 | loss 1.1054 | lr 2.44e-04 | t 272s
step  3800 | loss 1.6321 | lr 2.41e-04 | t 279s
step  3900 | loss 1.3852 | lr 2.38e-04 | t 286s
step  4000 | loss 1.1812 | lr 2.35e-04 | t 293s
step  4100 | loss 1.0869 | lr 2.32e-04 | t 301s
step  4200 | loss 1.3400 | lr 2.29e-04 | t 308s
step  4300 | loss 1.1460 | lr 2.26e-04 | t 315s
step  4400 | loss 1.0111 | lr 2.23e-04 | t 322s
