Loading frozen target (pi0-fast)...
WARNING:lerobot.utils.import_utils:'torchcodec' is not available in your platform, falling back to 'pyav' as a default decoder
The PI0Fast model is a direct port of the OpenPI implementation.
This implementation follows the original OpenPI structure for compatibility.
Original implementation: https://github.com/Physical-Intelligence/openpi
Loading model from: lerobot/pi0fast-base
✓ Loaded state dict from model.safetensors
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.bias
WARNING:root:Vision embedding key might need handling: model.paligemma_with_expert.paligemma.model.vision_tower.vision_model.embeddings.patch_embedding.weight
All keys loaded successfully!
Building drafter...
Drafter params: 258.0M
Building dataloader...
Training (budget = 900s, inner_steps=4)...
step   100 | loss 6.4452 | lr 2.97e-04 | t 14s
step   200 | loss 5.9602 | lr 2.99e-04 | t 29s
step   300 | loss 2.3898 | lr 2.98e-04 | t 43s
step   400 | loss 2.2718 | lr 2.97e-04 | t 58s
step   500 | loss 1.8824 | lr 2.96e-04 | t 73s
step   600 | loss 2.0093 | lr 2.94e-04 | t 87s
step   700 | loss 2.3104 | lr 2.92e-04 | t 102s
step   800 | loss 2.0359 | lr 2.89e-04 | t 117s
step   900 | loss 1.7895 | lr 2.86e-04 | t 131s
step  1000 | loss 1.5855 | lr 2.83e-04 | t 145s
step  1100 | loss 1.6102 | lr 2.80e-04 | t 160s
step  1200 | loss 1.8043 | lr 2.76e-04 | t 174s
step  1300 | loss 1.9259 | lr 2.72e-04 | t 189s
step  1400 | loss 1.4129 | lr 2.67e-04 | t 203s
step  1500 | loss 1.7095 | lr 2.63e-04 | t 218s
step  1600 | loss 1.7540 | lr 2.58e-04 | t 232s
step  1700 | loss 2.0269 | lr 2.53e-04 | t 247s
step  1800 | loss 1.6260 | lr 2.48e-04 | t 261s
step  1900 | loss 1.6509 | lr 2.42e-04 | t 276s
step  2000 | loss 1.7448 | lr 2.36e-04 | t 291s
step  2100 | loss 1.4737 | lr 2.30e-04 | t 306s
step  2200 | loss 1.4094 | lr 2.24e-04 | t 320s
step  2300 | loss 1.7596 | lr 2.18e-04 | t 335s
step  2400 | loss 1.0626 | lr 2.11e-04 | t 350s
step  2500 | loss 1.5786 | lr 2.04e-04 | t 365s
step  2600 | loss 1.4298 | lr 1.98e-04 | t 380s
step  2700 | loss 1.4518 | lr 1.91e-04 | t 394s
step  2800 | loss 1.1946 | lr 1.85e-04 | t 408s
step  2900 | loss 1.2254 | lr 1.78e-04 | t 423s
step  3000 | loss 1.2822 | lr 1.71e-04 | t 437s
step  3100 | loss 1.1287 | lr 1.64e-04 | t 451s
step  3200 | loss 1.2264 | lr 1.58e-04 | t 466s
step  3300 | loss 1.3490 | lr 1.51e-04 | t 480s
step  3400 | loss 1.2592 | lr 1.44e-04 | t 495s
step  3500 | loss 1.4715 | lr 1.37e-04 | t 509s
step  3600 | loss 0.9899 | lr 1.31e-04 | t 524s
step  3700 | loss 1.0408 | lr 1.25e-04 | t 537s
step  3800 | loss 1.1908 | lr 1.20e-04 | t 547s
step  3900 | loss 1.1728 | lr 1.17e-04 | t 554s
step  4000 | loss 1.2230 | lr 1.14e-04 | t 561s
step  4100 | loss 1.1596 | lr 1.11e-04 | t 569s
